county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
ADAMS,ADAMS - 001010,Supreme Court,,REP,Mike Eakin,62,,,
ADAMS,ADAMS - 001020,Supreme Court,,REP,Mike Eakin,116,,,
ADAMS,ADAMS - 001030,Supreme Court,,REP,Mike Eakin,64,,,
ADAMS,ADAMS - 001260,Supreme Court,,REP,Mike Eakin,0.377028714051,,,
ADAMS,ADAMS - 001040,Supreme Court,,REP,Mike Eakin,149.93175197678,,,
ADAMS,ADAMS - 001010,Supreme Court,,REP,Mike Eakin,0.691219309169,,,
ADAMS,ADAMS - 001050,Supreme Court,,REP,Mike Eakin,168,,,
ADAMS,ADAMS - 001060,Supreme Court,,REP,Mike Eakin,93,,,
ADAMS,ADAMS - 001070,Supreme Court,,REP,Mike Eakin,316,,,
ADAMS,ADAMS - 001080,Supreme Court,,REP,Mike Eakin,534,,,
ADAMS,ADAMS - 001090,Supreme Court,,REP,Mike Eakin,182,,,
ADAMS,ADAMS - 001100,Supreme Court,,REP,Mike Eakin,236,,,
ADAMS,ADAMS - 001110,Supreme Court,,REP,Mike Eakin,223.868390129216,,,
ADAMS,ADAMS - 001130,Supreme Court,,REP,Mike Eakin,0.131609870784,,,
ADAMS,ADAMS - 001120,Supreme Court,,REP,Mike Eakin,191,,,
ADAMS,ADAMS - 001130,Supreme Court,,REP,Mike Eakin,252,,,
ADAMS,ADAMS - 001140,Supreme Court,,REP,Mike Eakin,129,,,
ADAMS,ADAMS - 001150,Supreme Court,,REP,Mike Eakin,164,,,
ADAMS,ADAMS - 001160,Supreme Court,,REP,Mike Eakin,87,,,
ADAMS,ADAMS - 001170,Supreme Court,,REP,Mike Eakin,294.685714285776,,,
ADAMS,ADAMS - 001180,Supreme Court,,REP,Mike Eakin,2.314285714224,,,
ADAMS,ADAMS - 001180,Supreme Court,,REP,Mike Eakin,257,,,
ADAMS,ADAMS - 001190,Supreme Court,,REP,Mike Eakin,113,,,
ADAMS,ADAMS - 001200,Supreme Court,,REP,Mike Eakin,190,,,
ADAMS,ADAMS - 001220,Supreme Court,,REP,Mike Eakin,41.12359550562,,,
ADAMS,ADAMS - 001210,Supreme Court,,REP,Mike Eakin,18.87640449438,,,
ADAMS,ADAMS - 001220,Supreme Court,,REP,Mike Eakin,96,,,
ADAMS,ADAMS - 001230,Supreme Court,,REP,Mike Eakin,90,,,
ADAMS,ADAMS - 001120,Supreme Court,,REP,Mike Eakin,0.580224985172,,,
ADAMS,ADAMS - 001250,Supreme Court,,REP,Mike Eakin,41.950266429876,,,
ADAMS,ADAMS - 001240,Supreme Court,,REP,Mike Eakin,55.411486086474,,,
ADAMS,ADAMS - 001140,Supreme Court,,REP,Mike Eakin,0.058022498478,,,
ADAMS,ADAMS - 001250,Supreme Court,,REP,Mike Eakin,108,,,
ADAMS,ADAMS - 001260,Supreme Court,,REP,Mike Eakin,180,,,
ADAMS,ADAMS - 001270,Supreme Court,,REP,Mike Eakin,294,,,
ADAMS,ADAMS - 001280,Supreme Court,,REP,Mike Eakin,121,,,
ADAMS,ADAMS - 001300,Supreme Court,,REP,Mike Eakin,62.69311064709,,,
