county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
ADAMS,ADAMS - 001010,Governor,,REP,Mike Fisher,114,,,
ADAMS,ADAMS - 001020,Governor,,REP,Mike Fisher,165,,,
ADAMS,ADAMS - 001030,Governor,,REP,Mike Fisher,104,,,
ADAMS,ADAMS - 001260,Governor,,REP,Mike Fisher,5.938775510115,,,
ADAMS,ADAMS - 001040,Governor,,REP,Mike Fisher,279.122448979479,,,
ADAMS,ADAMS - 001010,Governor,,REP,Mike Fisher,5.938775510115,,,
ADAMS,ADAMS - 001050,Governor,,REP,Mike Fisher,224,,,
ADAMS,ADAMS - 001060,Governor,,REP,Mike Fisher,217,,,
ADAMS,ADAMS - 001070,Governor,,REP,Mike Fisher,562,,,
ADAMS,ADAMS - 001320,Governor,,REP,Mike Fisher,4.467800340156,,,
ADAMS,ADAMS - 001080,Governor,,REP,Mike Fisher,272.535820750612,,,
ADAMS,ADAMS - 001080,Governor,,REP,Mike Fisher,285.875985472792,,,
ADAMS,ADAMS - 001270,Governor,,REP,Mike Fisher,4.333333333472,,,
ADAMS,ADAMS - 001320,Governor,,REP,Mike Fisher,4.531750231353,,,
ADAMS,ADAMS - 001080,Governor,,REP,Mike Fisher,0.255309872187,,,
ADAMS,ADAMS - 001090,Governor,,REP,Mike Fisher,378,,,
ADAMS,ADAMS - 001100,Governor,,REP,Mike Fisher,519,,,
ADAMS,ADAMS - 001110,Governor,,REP,Mike Fisher,305,,,
ADAMS,ADAMS - 001120,Governor,,REP,Mike Fisher,325,,,
ADAMS,ADAMS - 001130,Governor,,REP,Mike Fisher,449,,,
ADAMS,ADAMS - 001140,Governor,,REP,Mike Fisher,191,,,
ADAMS,ADAMS - 001150,Governor,,REP,Mike Fisher,313,,,
ADAMS,ADAMS - 001160,Governor,,REP,Mike Fisher,125,,,
ADAMS,ADAMS - 001170,Governor,,REP,Mike Fisher,472,,,
ADAMS,ADAMS - 001180,Governor,,REP,Mike Fisher,420,,,
ADAMS,ADAMS - 001190,Governor,,REP,Mike Fisher,208,,,
ADAMS,ADAMS - 001200,Governor,,REP,Mike Fisher,444,,,
ADAMS,ADAMS - 001120,Governor,,REP,Mike Fisher,0.955555555546,,,
ADAMS,ADAMS - 001250,Governor,,REP,Mike Fisher,0.955555555546,,,
ADAMS,ADAMS - 001220,Governor,,REP,Mike Fisher,54.466666666638,,,
ADAMS,ADAMS - 001210,Governor,,REP,Mike Fisher,29.622222222184,,,
ADAMS,ADAMS - 001120,Governor,,REP,Mike Fisher,1.633333333317,,,
ADAMS,ADAMS - 001250,Governor,,REP,Mike Fisher,1.633333333317,,,
ADAMS,ADAMS - 001220,Governor,,REP,Mike Fisher,93.099999999951,,,
ADAMS,ADAMS - 001210,Governor,,REP,Mike Fisher,50.633333333268,,,
ADAMS,ADAMS - 001230,Governor,,REP,Mike Fisher,139,,,
ADAMS,ADAMS - 001120,Governor,,REP,Mike Fisher,3.33333333333,,,
ADAMS,ADAMS - 001250,Governor,,REP,Mike Fisher,66.66666666673,,,
ADAMS,ADAMS - 001240,Governor,,REP,Mike Fisher,55.00000000001,,,
ADAMS,ADAMS - 001140,Governor,,REP,Mike Fisher,5.00000000006,,,
ADAMS,ADAMS - 001120,Governor,,REP,Mike Fisher,4.051282051278,,,
ADAMS,ADAMS - 001250,Governor,,REP,Mike Fisher,81.025641025718,,,
ADAMS,ADAMS - 001240,Governor,,REP,Mike Fisher,66.846153846166,,,
ADAMS,ADAMS - 001140,Governor,,REP,Mike Fisher,6.076923076996,,,
ADAMS,ADAMS - 001260,Governor,,REP,Mike Fisher,408,,,
ADAMS,ADAMS - 001270,Governor,,REP,Mike Fisher,438,,,
ADAMS,ADAMS - 001280,Governor,,REP,Mike Fisher,196,,,
ADAMS,ADAMS - 001300,Governor,,REP,Mike Fisher,94.913043478266,,,
ADAMS,ADAMS - 001310,Governor,,REP,Mike Fisher,12.826086956532,,,
ADAMS,ADAMS - 001290,Governor,,REP,Mike Fisher,243.695652173754,,,
ADAMS,ADAMS - 001460,Governor,,REP,Mike Fisher,2.565217391448,,,
ADAMS,ADAMS - 001300,Governor,,REP,Mike Fisher,33.328906174105,,,
ADAMS,ADAMS - 001310,Governor,,REP,Mike Fisher,4.503906239747,,,
ADAMS,ADAMS - 001290,Governor,,REP,Mike Fisher,85.574218555074,,,
ADAMS,ADAMS - 001460,Governor,,REP,Mike Fisher,0.900781247999,,,
