county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
ADAMS,ADAMS - 001010,Supreme Court Retention - Christine Donohue,,YES,Yes,91,,,
ADAMS,ADAMS - 001010,Supreme Court Retention - Christine Donohue,,NO,No,124,,,
ADAMS,ADAMS - 001020,Supreme Court Retention - Christine Donohue,,YES,Yes,115,,,
ADAMS,ADAMS - 001020,Supreme Court Retention - Christine Donohue,,NO,No,115,,,
ADAMS,ADAMS - 001030,Supreme Court Retention - Christine Donohue,,YES,Yes,62,,,
ADAMS,ADAMS - 001030,Supreme Court Retention - Christine Donohue,,NO,No,75,,,
ADAMS,ADAMS - 001260,Supreme Court Retention - Christine Donohue,,YES,Yes,0.714107365686,,,
ADAMS,ADAMS - 001040,Supreme Court Retention - Christine Donohue,,YES,Yes,283.97669579708,,,
ADAMS,ADAMS - 001010,Supreme Court Retention - Christine Donohue,,YES,Yes,1.309196837234,,,
ADAMS,ADAMS - 001260,Supreme Court Retention - Christine Donohue,,NO,No,0.89887640436,,,
ADAMS,ADAMS - 001040,Supreme Court Retention - Christine Donohue,,NO,No,357.4531835208,,,
ADAMS,ADAMS - 001010,Supreme Court Retention - Christine Donohue,,NO,No,1.64794007484,,,
ADAMS,ADAMS - 001050,Supreme Court Retention - Christine Donohue,,YES,Yes,137,,,
ADAMS,ADAMS - 001050,Supreme Court Retention - Christine Donohue,,NO,No,148,,,
ADAMS,ADAMS - 001060,Supreme Court Retention - Christine Donohue,,YES,Yes,183,,,
ADAMS,ADAMS - 001060,Supreme Court Retention - Christine Donohue,,NO,No,173,,,
ADAMS,ADAMS - 001070,Supreme Court Retention - Christine Donohue,,YES,Yes,312,,,
ADAMS,ADAMS - 001070,Supreme Court Retention - Christine Donohue,,NO,No,423,,,
ADAMS,ADAMS - 001320,Supreme Court Retention - Christine Donohue,,YES,Yes,1.92672616253,,,
ADAMS,ADAMS - 001080,Supreme Court Retention - Christine Donohue,,YES,Yes,291.07327383747,,,
ADAMS,ADAMS - 001320,Supreme Court Retention - Christine Donohue,,NO,No,1.78863316112,,,
ADAMS,ADAMS - 001080,Supreme Court Retention - Christine Donohue,,NO,No,270.21136683888,,,
ADAMS,ADAMS - 001080,Supreme Court Retention - Christine Donohue,,YES,Yes,220,,,
ADAMS,ADAMS - 001080,Supreme Court Retention - Christine Donohue,,NO,No,251,,,
ADAMS,ADAMS - 001090,Supreme Court Retention - Christine Donohue,,YES,Yes,347,,,
ADAMS,ADAMS - 001090,Supreme Court Retention - Christine Donohue,,NO,No,305,,,
ADAMS,ADAMS - 001100,Supreme Court Retention - Christine Donohue,,YES,Yes,271,,,
ADAMS,ADAMS - 001100,Supreme Court Retention - Christine Donohue,,NO,No,366,,,
ADAMS,ADAMS - 001100,Supreme Court Retention - Christine Donohue,,YES,Yes,255,,,
ADAMS,ADAMS - 001100,Supreme Court Retention - Christine Donohue,,NO,No,303,,,
ADAMS,ADAMS - 001110,Supreme Court Retention - Christine Donohue,,YES,Yes,468,,,
ADAMS,ADAMS - 001110,Supreme Court Retention - Christine Donohue,,NO,No,264,,,
ADAMS,ADAMS - 001120,Supreme Court Retention - Christine Donohue,,YES,Yes,229,,,
ADAMS,ADAMS - 001120,Supreme Court Retention - Christine Donohue,,NO,No,261,,,
ADAMS,ADAMS - 001130,Supreme Court Retention - Christine Donohue,,YES,Yes,436,,,
ADAMS,ADAMS - 001130,Supreme Court Retention - Christine Donohue,,NO,No,259,,,
ADAMS,ADAMS - 001140,Supreme Court Retention - Christine Donohue,,YES,Yes,531,,,
ADAMS,ADAMS - 001140,Supreme Court Retention - Christine Donohue,,NO,No,300,,,
ADAMS,ADAMS - 001150,Supreme Court Retention - Christine Donohue,,YES,Yes,200,,,
