DISTRICT,BLOCK_COUNT
000005,152
000008,81
000010,3259
000012,83
000014,65
000015,641
000016,78
000020,3153
000021,119
000022,196
000023,202
000025,352
000026,93
000030,3030
000031,12
000032,56
000033,64
000034,34
000035,449
000036,96
000037,43
000039,25
000040,3085
000041,24
000042,105
000043,246
000044,27
000045,322
000046,125
000047,54
000050,2885
000051,117
000052,184
000053,144
000054,35
000055,710
000056,176
000058,87
000060,2856
000061,48
000062,111
000063,109
000064,51
000065,609
000070,2772
000071,93
000072,63
000075,553
000078,62
000079,28
000080,2655
000081,20
000082,64
000083,65
000085,197
000087,49
000088,112
000090,2825
000091,29
000092,145
000095,420
000099,22
000100,2537
000101,44
000102,249
000103,41
000104,41
000105,390
000106,9
000107,8
000108,78
000109,9
000110,3005
000111,24
000112,187
000113,11
000114,7
000115,401
000116,74
000117,36
000118,20
000119,28
000120,2414
000121,12
000122,138
000125,230
000126,71
000127,20
000130,3124
000131,99
000132,43
000135,257
000136,32
000138,23
000140,2934
000141,30
000142,35
000144,35
000145,110
000147,40
000148,28
000150,2629
000151,15
000152,150
000154,58
000155,515
000156,49
000160,2452
000161,210
000162,72
000164,71
000165,411
000170,2571
000171,91
000172,106
000173,219
000174,44
000175,336
000176,141
000177,29
000179,45
000180,2461
000181,204
000183,51
000185,158
000187,28
000188,62
000190,2267
000191,266
000192,124
000194,95
000195,237
000197,90
000198,21
000200,2235
000201,52
000202,68
000203,44
000204,73
000205,226
000206,83
000207,21
000208,72
000209,15
000210,2292
000211,231
000212,116
000213,98
000214,18
000215,334
000216,164
000217,10
000218,114
000219,67
000220,2374
000221,176
000222,56
000223,85
000224,8
000225,386
000226,93
000227,90
000228,5
000229,125
000230,2645
000231,116
000232,74
000233,52
000234,8
000235,346
000236,27
000239,37
000240,2330
000242,202
000244,19
000245,286
000246,16
000248,26
000250,2282
000251,189
000253,39
000254,135
000255,395
000256,85
000257,17
000258,61
000260,2295
000261,196
000262,135
000263,42
000264,24
000265,408
000267,64
000269,76
000270,2284
000271,7
000272,191
000273,62
000275,460
000279,51
000280,1983
000281,52
000282,52
000285,301
000288,52
000290,2379
000291,188
000292,47
000295,242
000297,32
000299,2
000300,2311
000301,120
000302,10
000303,6
000304,6
000305,315
000306,7
000307,8
000308,7
000309,8
000310,2385
000311,92
000312,8
000313,5
000314,5
000315,403
000316,7
000317,9
000318,10
000319,6
000320,2405
000321,64
000322,9
000323,17
000325,275
000327,24
000330,2035
000331,199
000332,62
000333,23
000334,79
000335,347
000337,22
000338,35
000339,72
000340,2333
000344,63
000345,250
000347,39
000349,14
000350,1816
000351,117
000352,104
000353,20
000354,27
000355,576
000356,22
000358,106
000359,28
000360,1525
000361,162
000362,36
000363,66
000364,76
000365,362
000366,129
000367,193
000368,37
000370,2090
000371,249
000372,197
000375,637
000376,166
000377,65
000378,28
000379,114
000380,1718
000381,72
000384,58
000385,226
000386,29
000388,65
000390,1765
000391,115
000392,324
000393,21
000395,478
000397,27
000398,33
000399,68
000400,1526
000401,8
000402,161
000403,10
000404,6
000405,325
000406,75
000407,10
000408,12
000409,6
000410,1990
000411,114
000412,63
000413,11
000414,70
000415,121
000416,9
000417,9
000418,4
000419,9
000420,1930
000421,76
000422,223
000425,433
000427,78
000428,94
000429,62
000430,1489
000431,67
000432,117
000433,89
000434,83
000435,475
000436,38
000440,1627
000441,20
000442,67
000445,304
000446,21
000450,1784
000452,100
000455,100
000457,125
000460,1672
000461,10
000462,55
000465,85
000466,10
000470,1711
000472,73
000475,419
000478,44
000479,27
000480,2131
000481,9
000482,38
000484,59
000485,175
000486,21
000488,54
000490,1249
000492,76
000493,7
000494,109
000495,98
000496,62
000500,1244
000501,27
000502,246
000503,12
000504,72
000505,107
000506,12
000507,9
000508,20
000510,1553
000511,32
000512,66
000514,15
000515,161
000518,71
000519,12
000520,1723
000522,26
000523,17
000525,237
000530,1375
000531,35
000532,123
000533,53
000535,252
000536,238
000539,28
000540,1461
000541,39
000542,58
000543,86
000545,163
000546,117
000547,11
000550,1406
000551,84
000552,26
000554,35
000555,173
000556,82
000557,21
000560,1412
000562,22
000565,331
000568,37
000570,1791
000571,40
000572,18
000573,34
000574,19
000575,296
000576,41
000577,16
000578,17
000580,1388
000582,43
000585,114
000590,1443
000591,11
000594,83
000595,215
000596,270
000598,26
000600,812
000601,300
000602,82
000603,32
000604,3
000605,254
000606,10
000607,16
000608,126
000609,10
000610,1309
000611,19
000612,109
000613,6
000614,8
000615,223
000616,20
000617,5
000618,73
000620,1284
000621,66
000622,92
000623,28
000624,11
000625,214
000628,33
000630,1414
000631,38
000635,223
000636,92
000640,1159
000645,100
000646,51
000650,1069
000651,19
000652,51
