district,name,geoid,total_population,adult_population,citizen_population,cvap_total,cvap_total_24,cvap_moe,source_vintage,native_cvap,native_cvap_pct,native_vap_pct,asian_cvap,asian_cvap_pct,asian_vap_pct,black_cvap,black_cvap_pct,black_vap_pct,pacific_cvap,pacific_cvap_pct,pacific_vap_pct,white_cvap,white_cvap_pct,white_vap_pct,multiracial_cvap,multiracial_cvap_pct,multiracial_vap_pct,hispanic_cvap,hispanic_cvap_pct,hispanic_vap_pct
1,"State House District 1 (2024), Pennsylvania",620L900US42001,65016,50197,62648,48387,48387,1158,2020-2024 ACS CVAP,117,0.24,0.24,495,1.02,1.02,6437,13.3,13.3,4,0.01,0.01,35989,74.38,74.38,1726,3.57,3.57,3634,7.51,7.51
2,"State House District 2 (2024), Pennsylvania",620L900US42002,64227,51724,62144,50145,50145,1151,2020-2024 ACS CVAP,23,0.05,0.05,686,1.37,1.37,4314,8.6,8.6,2,0.0,0.0,42676,85.11,85.11,772,1.54,1.54,1675,3.34,3.34
3,"State House District 3 (2024), Pennsylvania",620L900US42003,64718,51314,63762,50536,50536,660,2020-2024 ACS CVAP,18,0.04,0.04,904,1.79,1.79,1001,1.98,1.98,1,0.0,0.0,47038,93.08,93.08,486,0.96,0.96,1087,2.15,2.15
4,"State House District 4 (2024), Pennsylvania",620L900US42004,64356,51014,63900,50565,50565,702,2020-2024 ACS CVAP,24,0.05,0.05,156,0.31,0.31,140,0.28,0.28,6,0.01,0.01,48829,96.57,96.57,593,1.17,1.17,817,1.62,1.62
5,"State House District 5 (2024), Pennsylvania",620L900US42005,66212,52805,65403,52077,52077,862,2020-2024 ACS CVAP,32,0.06,0.06,329,0.63,0.63,1530,2.94,2.94,0,0.0,0.0,46778,89.82,89.82,739,1.42,1.42,2676,5.14,5.14
6,"State House District 6 (2024), Pennsylvania",620L900US42006,63819,51955,63478,51649,51649,567,2020-2024 ACS CVAP,23,0.04,0.04,133,0.26,0.26,1701,3.29,3.29,0,0.0,0.0,48402,93.71,93.71,760,1.47,1.47,630,1.22,1.22
7,"State House District 7 (2024), Pennsylvania",620L900US42007,65167,53187,64728,52780,52780,437,2020-2024 ACS CVAP,44,0.08,0.08,160,0.3,0.3,3696,7.0,7.0,0,0.0,0.0,47462,89.92,89.92,739,1.4,1.4,684,1.3,1.3
8,"State House District 8 (2024), Pennsylvania",620L900US42008,64276,52680,64013,52463,52463,668,2020-2024 ACS CVAP,5,0.01,0.01,267,0.51,0.51,222,0.42,0.42,0,0.0,0.0,50721,96.68,96.68,611,1.16,1.16,632,1.2,1.2
9,"State House District 9 (2024), Pennsylvania",620L900US42009,63236,50129,62929,49863,49863,411,2020-2024 ACS CVAP,4,0.01,0.01,122,0.24,0.24,2057,4.13,4.13,4,0.01,0.01,45770,91.79,91.79,1066,2.14,2.14,837,1.68,1.68
10,"State House District 10 (2024), Pennsylvania",620L900US42010,57598,48059,53601,44303,44303,1906,2020-2024 ACS CVAP,150,0.34,0.34,3098,6.99,6.99,25814,58.27,58.27,5,0.01,0.01,11579,26.14,26.14,2191,4.95,4.95,1471,3.32,3.32
11,"State House District 11 (2024), Pennsylvania",620L900US42011,63999,52322,63728,52060,52060,572,2020-2024 ACS CVAP,14,0.03,0.03,197,0.38,0.38,794,1.53,1.53,21,0.04,0.04,49749,95.56,95.56,480,0.92,0.92,804,1.54,1.54
12,"State House District 12 (2024), Pennsylvania",620L900US42012,67208,52079,65569,50557,50557,649,2020-2024 ACS CVAP,14,0.03,0.03,731,1.45,1.45,532,1.05,1.05,3,0.01,0.01,47797,94.54,94.54,578,1.14,1.14,911,1.8,1.8
