district,name,geoid,total_population,adult_population,citizen_population,cvap_total,cvap_total_24,cvap_moe,source_vintage,native_cvap,native_cvap_pct,native_vap_pct,asian_cvap,asian_cvap_pct,asian_vap_pct,black_cvap,black_cvap_pct,black_vap_pct,pacific_cvap,pacific_cvap_pct,pacific_vap_pct,white_cvap,white_cvap_pct,white_vap_pct,multiracial_cvap,multiracial_cvap_pct,multiracial_vap_pct,hispanic_cvap,hispanic_cvap_pct,hispanic_vap_pct
13,"State House District 13 (2024), Pennsylvania",620L900US42013,65245,49331,62555,46863,46863,903,2020-2024 ACS CVAP,4,0.01,0.01,647,1.38,1.38,1937,4.13,4.13,6,0.01,0.01,39458,84.2,84.2,919,1.96,1.96,3901,8.32,8.32
14,"State House District 14 (2024), Pennsylvania",620L900US42014,66073,53788,65875,53587,53587,595,2020-2024 ACS CVAP,8,0.01,0.01,241,0.45,0.45,2190,4.09,4.09,0,0.0,0.0,49776,92.89,92.89,802,1.5,1.5,570,1.06,1.06
15,"State House District 15 (2024), Pennsylvania",620L900US42015,65556,51894,65280,51640,51640,917,2020-2024 ACS CVAP,19,0.04,0.04,200,0.39,0.39,880,1.7,1.7,9,0.02,0.02,49139,95.16,95.16,770,1.49,1.49,619,1.2,1.2
16,"State House District 16 (2024), Pennsylvania",620L900US42016,64377,52129,63714,51482,51482,737,2020-2024 ACS CVAP,19,0.04,0.04,229,0.44,0.44,4875,9.47,9.47,0,0.0,0.0,44013,85.49,85.49,945,1.84,1.84,1404,2.73,2.73
17,"State House District 17 (2024), Pennsylvania",620L900US42017,67652,55471,67412,55248,55248,680,2020-2024 ACS CVAP,39,0.07,0.07,244,0.44,0.44,845,1.53,1.53,11,0.02,0.02,52364,94.78,94.78,1087,1.97,1.97,657,1.19,1.19
18,"State House District 18 (2024), Pennsylvania",620L900US42018,63743,51423,58657,46731,46731,1092,2020-2024 ACS CVAP,23,0.05,0.05,5461,11.69,11.69,3126,6.69,6.69,0,0.0,0.0,34075,72.92,72.92,710,1.52,1.52,3334,7.13,7.13
19,"State House District 19 (2024), Pennsylvania",620L900US42019,62345,51185,59383,48566,48566,1650,2020-2024 ACS CVAP,76,0.16,0.16,771,1.59,1.59,17748,36.54,36.54,28,0.06,0.06,26405,54.37,54.37,1728,3.56,3.56,1818,3.74,3.74
20,"State House District 20 (2024), Pennsylvania",620L900US42020,60247,49508,58461,47865,47865,848,2020-2024 ACS CVAP,0,0.0,0.0,529,1.11,1.11,3279,6.85,6.85,10,0.02,0.02,42487,88.76,88.76,703,1.47,1.47,861,1.8,1.8
21,"State House District 21 (2024), Pennsylvania",620L900US42021,61740,53725,60601,52588,52588,1023,2020-2024 ACS CVAP,2,0.0,0.0,940,1.79,1.79,2296,4.37,4.37,50,0.1,0.1,47245,89.84,89.84,931,1.77,1.77,1131,2.15,2.15
22,"State House District 22 (2024), Pennsylvania",620L900US42022,61706,44720,52709,37317,37317,1594,2020-2024 ACS CVAP,39,0.1,0.1,417,1.12,1.12,3751,10.05,10.05,2,0.01,0.01,12392,33.21,33.21,548,1.47,1.47,20164,54.03,54.03
23,"State House District 23 (2024), Pennsylvania",620L900US42023,59651,52825,53519,47103,47103,1523,2020-2024 ACS CVAP,15,0.03,0.03,3871,8.22,8.22,2318,4.92,4.92,0,0.0,0.0,37430,79.46,79.46,1178,2.5,2.5,2285,4.85,4.85
24,"State House District 24 (2024), Pennsylvania",620L900US42024,63235,53098,58801,48878,48878,1628,2020-2024 ACS CVAP,19,0.04,0.04,2278,4.66,4.66,17557,35.92,35.92,8,0.02,0.02,25763,52.71,52.71,1440,2.95,2.95,1807,3.7,3.7
25,"State House District 25 (2024), Pennsylvania",620L900US42025,63482,51991,62423,51086,51086,1353,2020-2024 ACS CVAP,20,0.04,0.04,1238,2.42,2.42,7190,14.07,14.07,0,0.0,0.0,40557,79.39,79.39,1171,2.29,2.29,909,1.78,1.78
26,"State House District 26 (2024), Pennsylvania",620L900US42026,65583,51703,63859,50152,50152,803,2020-2024 ACS CVAP,9,0.02,0.02,930,1.85,1.85,1244,2.48,2.48,36,0.07,0.07,44604,88.94,88.94,1309,2.61,2.61,2030,4.05,4.05
27,"State House District 27 (2024), Pennsylvania",620L900US42027,61725,51611,58321,48670,48670,1449,2020-2024 ACS CVAP,30,0.06,0.06,894,1.84,1.84,4548,9.34,9.34,0,0.0,0.0,41398,85.06,85.06,888,1.82,1.82,911,1.87,1.87
28,"State House District 28 (2024), Pennsylvania",620L900US42028,64046,48824,61667,46793,46793,971,2020-2024 ACS CVAP,10,0.02,0.02,1481,3.17,3.17,319,0.68,0.68,0,0.0,0.0,44117,94.28,94.28,423,0.9,0.9,441,0.94,0.94
29,"State House District 29 (2024), Pennsylvania",620L900US42029,65675,52712,64253,51498,51498,698,2020-2024 ACS CVAP,16,0.03,0.03,1787,3.47,3.47,909,1.77,1.77,6,0.01,0.01,46075,89.47,89.47,1171,2.27,2.27,1528,2.97,2.97
30,"State House District 30 (2024), Pennsylvania",620L900US42030,61807,47661,59835,45941,45941,748,2020-2024 ACS CVAP,0,0.0,0.0,1897,4.13,4.13,721,1.57,1.57,1,0.0,0.0,41343,89.99,89.99,575,1.25,1.25,1411,3.07,3.07
31,"State House District 31 (2024), Pennsylvania",620L900US42031,66998,52823,64415,50614,50614,918,2020-2024 ACS CVAP,37,0.07,0.07,3037,6.0,6.0,485,0.96,0.96,0,0.0,0.0,43717,86.37,86.37,1318,2.6,2.6,2018,3.99,3.99
32,"State House District 32 (2024), Pennsylvania",620L900US42032,63246,50795,62612,50202,50202,1036,2020-2024 ACS CVAP,22,0.04,0.04,312,0.62,0.62,11637,23.18,23.18,59,0.12,0.12,36221,72.15,72.15,1226,2.44,2.44,710,1.41,1.41
33,"State House District 33 (2024), Pennsylvania",620L900US42033,60544,48667,59135,47450,47450,761,2020-2024 ACS CVAP,3,0.01,0.01,847,1.79,1.79,1229,2.59,2.59,0,0.0,0.0,44084,92.91,92.91,622,1.31,1.31,665,1.4,1.4
34,"State House District 34 (2024), Pennsylvania",620L900US42034,61160,50058,60115,49065,49065,888,2020-2024 ACS CVAP,45,0.09,0.09,815,1.66,1.66,15827,32.26,32.26,2,0.0,0.0,28513,58.11,58.11,2348,4.79,4.79,1515,3.09,3.09
35,"State House District 35 (2024), Pennsylvania",620L900US42035,63685,50570,63217,50194,50194,868,2020-2024 ACS CVAP,15,0.03,0.03,125,0.25,0.25,11864,23.64,23.64,0,0.0,0.0,35220,70.17,70.17,1825,3.64,3.64,1132,2.26,2.26
36,"State House District 36 (2024), Pennsylvania",620L900US42036,60159,50240,58193,48563,48563,1643,2020-2024 ACS CVAP,1,0.0,0.0,627,1.29,1.29,5525,11.38,11.38,0,0.0,0.0,39539,81.42,81.42,1398,2.88,2.88,1470,3.03,3.03
37,"State House District 37 (2024), Pennsylvania",620L900US42037,67377,52876,66740,52379,52379,717,2020-2024 ACS CVAP,1,0.0,0.0,550,1.05,1.05,548,1.05,1.05,0,0.0,0.0,48877,93.31,93.31,649,1.24,1.24,1749,3.34,3.34
38,"State House District 38 (2024), Pennsylvania",620L900US42038,63212,51575,61023,49743,49743,1121,2020-2024 ACS CVAP,36,0.07,0.07,1633,3.28,3.28,2276,4.58,4.58,0,0.0,0.0,44561,89.58,89.58,493,0.99,0.99,753,1.51,1.51
39,"State House District 39 (2024), Pennsylvania",620L900US42039,65142,52846,64565,52277,52277,908,2020-2024 ACS CVAP,25,0.05,0.05,1278,2.44,2.44,967,1.85,1.85,0,0.0,0.0,48878,93.5,93.5,456,0.87,0.87,685,1.31,1.31
40,"State House District 40 (2024), Pennsylvania",620L900US42040,65152,50967,64193,50269,50269,883,2020-2024 ACS CVAP,56,0.11,0.11,940,1.87,1.87,496,0.99,0.99,2,0.0,0.0,47704,94.9,94.9,391,0.78,0.78,683,1.36,1.36
41,"State House District 41 (2024), Pennsylvania",620L900US42041,65084,51610,63622,50326,50326,1075,2020-2024 ACS CVAP,20,0.04,0.04,1618,3.22,3.22,1380,2.74,2.74,3,0.01,0.01,41016,81.5,81.5,861,1.71,1.71,5427,10.78,10.78
42,"State House District 42 (2024), Pennsylvania",620L900US42042,63385,49138,61610,47682,47682,977,2020-2024 ACS CVAP,14,0.03,0.03,1350,2.83,2.83,861,1.81,1.81,0,0.0,0.0,43610,91.46,91.46,890,1.87,1.87,961,2.02,2.02
43,"State House District 43 (2024), Pennsylvania",620L900US42043,64540,47791,63689,46982,46982,719,2020-2024 ACS CVAP,37,0.08,0.08,951,2.02,2.02,713,1.52,1.52,7,0.01,0.01,42198,89.82,89.82,637,1.36,1.36,2450,5.21,5.21
44,"State House District 44 (2024), Pennsylvania",620L900US42044,65340,52392,63744,50900,50900,836,2020-2024 ACS CVAP,6,0.01,0.01,1314,2.58,2.58,1503,2.95,2.95,9,0.02,0.02,45937,90.25,90.25,1026,2.02,2.02,1118,2.2,2.2
45,"State House District 45 (2024), Pennsylvania",620L900US42045,64956,53306,63180,51761,51761,858,2020-2024 ACS CVAP,60,0.12,0.12,519,1.0,1.0,4412,8.52,8.52,6,0.01,0.01,44895,86.74,86.74,961,1.86,1.86,912,1.76,1.76
46,"State House District 46 (2024), Pennsylvania",620L900US42046,67413,52566,65395,50889,50889,937,2020-2024 ACS CVAP,4,0.01,0.01,1270,2.5,2.5,1376,2.7,2.7,5,0.01,0.01,46953,92.27,92.27,626,1.23,1.23,653,1.28,1.28
47,"State House District 47 (2024), Pennsylvania",620L900US42047,64513,50093,63676,49335,49335,965,2020-2024 ACS CVAP,14,0.03,0.03,523,1.06,1.06,2631,5.33,5.33,1,0.0,0.0,42204,85.55,85.55,1071,2.17,2.17,2887,5.85,5.85
48,"State House District 48 (2024), Pennsylvania",620L900US42048,66275,55170,65383,54408,54408,881,2020-2024 ACS CVAP,0,0.0,0.0,337,0.62,0.62,2539,4.67,4.67,0,0.0,0.0,49681,91.31,91.31,875,1.61,1.61,984,1.81,1.81
49,"State House District 49 (2024), Pennsylvania",620L900US42049,63097,48804,59464,45817,45817,1276,2020-2024 ACS CVAP,21,0.05,0.05,1193,2.6,2.6,5084,11.1,11.1,12,0.03,0.03,23747,51.83,51.83,1233,2.69,2.69,14511,31.67,31.67
50,"State House District 50 (2024), Pennsylvania",620L900US42050,65417,52741,64958,52310,52310,553,2020-2024 ACS CVAP,8,0.02,0.02,195,0.37,0.37,2049,3.92,3.92,0,0.0,0.0,48422,92.57,92.57,983,1.88,1.88,652,1.25,1.25
51,"State House District 51 (2024), Pennsylvania",620L900US42051,63090,50623,62495,50063,50063,686,2020-2024 ACS CVAP,10,0.02,0.02,207,0.41,0.41,1869,3.73,3.73,52,0.1,0.1,46423,92.73,92.73,904,1.81,1.81,597,1.19,1.19
52,"State House District 52 (2024), Pennsylvania",620L900US42052,62908,51147,62705,50954,50954,665,2020-2024 ACS CVAP,31,0.06,0.06,158,0.31,0.31,2120,4.16,4.16,1,0.0,0.0,47442,93.11,93.11,734,1.44,1.44,472,0.93,0.93
53,"State House District 53 (2024), Pennsylvania",620L900US42053,66573,52334,61457,47950,47950,1125,2020-2024 ACS CVAP,0,0.0,0.0,6162,12.85,12.85,2088,4.35,4.35,0,0.0,0.0,36470,76.06,76.06,758,1.58,1.58,2465,5.14,5.14
54,"State House District 54 (2024), Pennsylvania",620L900US42054,63590,49793,58204,44955,44955,1200,2020-2024 ACS CVAP,23,0.05,0.05,1314,2.92,2.92,10079,22.42,22.42,37,0.08,0.08,26931,59.91,59.91,1596,3.55,3.55,4969,11.05,11.05
55,"State House District 55 (2024), Pennsylvania",620L900US42055,65239,53622,64799,53270,53270,969,2020-2024 ACS CVAP,9,0.02,0.02,790,1.48,1.48,2168,4.07,4.07,2,0.0,0.0,48811,91.63,91.63,683,1.28,1.28,816,1.53,1.53
56,"State House District 56 (2024), Pennsylvania",620L900US42056,66080,52961,65610,52497,52497,777,2020-2024 ACS CVAP,21,0.04,0.04,321,0.61,0.61,938,1.79,1.79,0,0.0,0.0,49357,94.02,94.02,950,1.81,1.81,910,1.73,1.73
57,"State House District 57 (2024), Pennsylvania",620L900US42057,66596,55392,66010,54857,54857,726,2020-2024 ACS CVAP,20,0.04,0.04,382,0.7,0.7,917,1.67,1.67,7,0.01,0.01,52250,95.25,95.25,602,1.1,1.1,669,1.22,1.22
58,"State House District 58 (2024), Pennsylvania",620L900US42058,62743,51031,62401,50741,50741,833,2020-2024 ACS CVAP,13,0.03,0.03,167,0.33,0.33,1511,2.98,2.98,0,0.0,0.0,48104,94.8,94.8,576,1.14,1.14,366,0.72,0.72
59,"State House District 59 (2024), Pennsylvania",620L900US42059,65879,54676,65640,54487,54487,1034,2020-2024 ACS CVAP,10,0.02,0.02,297,0.55,0.55,475,0.87,0.87,1,0.0,0.0,52788,96.88,96.88,504,0.92,0.92,428,0.79,0.79
60,"State House District 60 (2024), Pennsylvania",620L900US42060,63229,51254,62973,50997,50997,703,2020-2024 ACS CVAP,5,0.01,0.01,122,0.24,0.24,627,1.23,1.23,15,0.03,0.03,49263,96.6,96.6,595,1.17,1.17,373,0.73,0.73
61,"State House District 61 (2024), Pennsylvania",620L900US42061,64236,50741,61813,48585,48585,979,2020-2024 ACS CVAP,0,0.0,0.0,4400,9.06,9.06,3281,6.75,6.75,26,0.05,0.05,39388,81.07,81.07,644,1.33,1.33,860,1.77,1.77
62,"State House District 62 (2024), Pennsylvania",620L900US42062,65528,54953,64311,53917,53917,710,2020-2024 ACS CVAP,6,0.01,0.01,453,0.84,0.84,1618,3.0,3.0,0,0.0,0.0,50073,92.87,92.87,758,1.41,1.41,1010,1.87,1.87
63,"State House District 63 (2024), Pennsylvania",620L900US42063,64539,51931,64154,51632,51632,437,2020-2024 ACS CVAP,8,0.02,0.02,193,0.37,0.37,549,1.06,1.06,0,0.0,0.0,49928,96.7,96.7,470,0.91,0.91,476,0.92,0.92
64,"State House District 64 (2024), Pennsylvania",620L900US42064,61226,49183,61006,48973,48973,353,2020-2024 ACS CVAP,24,0.05,0.05,106,0.22,0.22,425,0.87,0.87,11,0.02,0.02,47355,96.7,96.7,557,1.14,1.14,511,1.04,1.04
65,"State House District 65 (2024), Pennsylvania",620L900US42065,62847,50956,62586,50710,50710,442,2020-2024 ACS CVAP,37,0.07,0.07,155,0.31,0.31,1266,2.5,2.5,59,0.12,0.12,47888,94.44,94.44,530,1.05,1.05,763,1.5,1.5
66,"State House District 66 (2024), Pennsylvania",620L900US42066,61375,47643,61228,47506,47506,510,2020-2024 ACS CVAP,25,0.05,0.05,28,0.06,0.06,135,0.28,0.28,0,0.0,0.0,46594,98.08,98.08,396,0.83,0.83,333,0.7,0.7
67,"State House District 67 (2024), Pennsylvania",620L900US42067,60520,48809,60073,48442,48442,93,2020-2024 ACS CVAP,34,0.07,0.07,226,0.47,0.47,790,1.63,1.63,46,0.09,0.09,45960,94.88,94.88,711,1.47,1.47,677,1.4,1.4
68,"State House District 68 (2024), Pennsylvania",620L900US42068,63709,50320,63505,50116,50116,452,2020-2024 ACS CVAP,41,0.08,0.08,151,0.3,0.3,397,0.79,0.79,3,0.01,0.01,48283,96.34,96.34,518,1.03,1.03,727,1.45,1.45
69,"State House District 69 (2024), Pennsylvania",620L900US42069,64619,53036,64227,52638,52638,332,2020-2024 ACS CVAP,10,0.02,0.02,125,0.24,0.24,1752,3.33,3.33,0,0.0,0.0,49692,94.4,94.4,488,0.93,0.93,586,1.11,1.11
70,"State House District 70 (2024), Pennsylvania",620L900US42070,68489,55638,66040,53344,53344,1026,2020-2024 ACS CVAP,23,0.04,0.04,2743,5.14,5.14,6017,11.28,11.28,16,0.03,0.03,40893,76.66,76.66,968,1.81,1.81,2683,5.03,5.03
71,"State House District 71 (2024), Pennsylvania",620L900US42071,62057,51347,61800,51095,51095,620,2020-2024 ACS CVAP,7,0.01,0.01,221,0.43,0.43,810,1.59,1.59,6,0.01,0.01,48514,94.95,94.95,689,1.35,1.35,852,1.67,1.67
72,"State House District 72 (2024), Pennsylvania",620L900US42072,63097,50302,62736,50042,50042,628,2020-2024 ACS CVAP,42,0.08,0.08,190,0.38,0.38,1801,3.6,3.6,0,0.0,0.0,45624,91.17,91.17,1369,2.74,2.74,1023,2.04,2.04
73,"State House District 73 (2024), Pennsylvania",620L900US42073,61163,49597,60274,48718,48718,696,2020-2024 ACS CVAP,10,0.02,0.02,170,0.35,0.35,1291,2.65,2.65,11,0.02,0.02,45986,94.39,94.39,575,1.18,1.18,679,1.39,1.39
74,"State House District 74 (2024), Pennsylvania",620L900US42074,65950,50502,64181,48844,48844,979,2020-2024 ACS CVAP,12,0.02,0.02,246,0.5,0.5,7657,15.68,15.68,28,0.06,0.06,34423,70.48,70.48,2025,4.15,4.15,4460,9.13,9.13
75,"State House District 75 (2024), Pennsylvania",620L900US42075,62540,50583,62286,50370,50370,492,2020-2024 ACS CVAP,4,0.01,0.01,203,0.4,0.4,220,0.44,0.44,3,0.01,0.01,48426,96.14,96.14,411,0.82,0.82,1096,2.18,2.18
76,"State House District 76 (2024), Pennsylvania",620L900US42076,62769,50429,62152,49814,49814,366,2020-2024 ACS CVAP,39,0.08,0.08,374,0.75,0.75,843,1.69,1.69,0,0.0,0.0,46943,94.24,94.24,673,1.35,1.35,941,1.89,1.89
77,"State House District 77 (2024), Pennsylvania",620L900US42077,62126,53254,56608,47913,47913,1172,2020-2024 ACS CVAP,98,0.2,0.2,1850,3.86,3.86,1427,2.98,2.98,14,0.03,0.03,42047,87.76,87.76,1302,2.72,2.72,1168,2.44,2.44
78,"State House District 78 (2024), Pennsylvania",620L900US42078,62040,49945,61752,49660,49660,80,2020-2024 ACS CVAP,32,0.06,0.06,144,0.29,0.29,378,0.76,0.76,0,0.0,0.0,48252,97.16,97.16,455,0.92,0.92,391,0.79,0.79
79,"State House District 79 (2024), Pennsylvania",620L900US42079,62211,50239,61683,49746,49746,492,2020-2024 ACS CVAP,25,0.05,0.05,264,0.53,0.53,1511,3.04,3.04,0,0.0,0.0,46480,93.43,93.43,769,1.55,1.55,686,1.38,1.38
80,"State House District 80 (2024), Pennsylvania",620L900US42080,61205,48374,60740,47990,47990,553,2020-2024 ACS CVAP,13,0.03,0.03,146,0.3,0.3,193,0.4,0.4,2,0.0,0.0,46703,97.32,97.32,438,0.91,0.91,498,1.04,1.04
81,"State House District 81 (2024), Pennsylvania",620L900US42081,66031,53215,65776,52961,52961,549,2020-2024 ACS CVAP,37,0.07,0.07,179,0.34,0.34,1980,3.74,3.74,1,0.0,0.0,48813,92.17,92.17,987,1.86,1.86,967,1.83,1.83
82,"State House District 82 (2024), Pennsylvania",620L900US42082,65005,57377,62540,55016,55016,933,2020-2024 ACS CVAP,60,0.11,0.11,1593,2.9,2.9,2601,4.73,4.73,1,0.0,0.0,46664,84.82,84.82,1345,2.44,2.44,2748,4.99,4.99
83,"State House District 83 (2024), Pennsylvania",620L900US42083,64369,51774,63346,50782,50782,629,2020-2024 ACS CVAP,79,0.16,0.16,415,0.82,0.82,4715,9.28,9.28,0,0.0,0.0,42751,84.19,84.19,1270,2.5,2.5,1552,3.06,3.06
84,"State House District 84 (2024), Pennsylvania",620L900US42084,63423,51036,62950,50647,50647,663,2020-2024 ACS CVAP,23,0.05,0.05,129,0.25,0.25,312,0.62,0.62,21,0.04,0.04,49228,97.2,97.2,380,0.75,0.75,562,1.11,1.11
85,"State House District 85 (2024), Pennsylvania",620L900US42085,65690,52916,65030,52318,52318,497,2020-2024 ACS CVAP,49,0.09,0.09,259,0.5,0.5,542,1.04,1.04,43,0.08,0.08,49962,95.5,95.5,396,0.76,0.76,1055,2.02,2.02
86,"State House District 86 (2024), Pennsylvania",620L900US42086,64591,50679,63797,49940,49940,271,2020-2024 ACS CVAP,24,0.05,0.05,156,0.31,0.31,457,0.92,0.92,10,0.02,0.02,47850,95.81,95.81,577,1.16,1.16,857,1.72,1.72
87,"State House District 87 (2024), Pennsylvania",620L900US42087,69130,54282,66832,52248,52248,1036,2020-2024 ACS CVAP,15,0.03,0.03,2449,4.69,4.69,1467,2.81,2.81,0,0.0,0.0,45662,87.39,87.39,881,1.69,1.69,1778,3.4,3.4
88,"State House District 88 (2024), Pennsylvania",620L900US42088,69149,54286,65880,51586,51586,968,2020-2024 ACS CVAP,3,0.01,0.01,2946,5.71,5.71,2768,5.37,5.37,0,0.0,0.0,41850,81.13,81.13,1358,2.63,2.63,2653,5.14,5.14
89,"State House District 89 (2024), Pennsylvania",620L900US42089,67137,53456,64585,51209,51209,705,2020-2024 ACS CVAP,23,0.04,0.04,537,1.05,1.05,2243,4.38,4.38,0,0.0,0.0,43550,85.04,85.04,1147,2.24,2.24,3716,7.26,7.26
90,"State House District 90 (2024), Pennsylvania",620L900US42090,65729,50311,65176,49836,49836,670,2020-2024 ACS CVAP,4,0.01,0.01,295,0.59,0.59,1097,2.2,2.2,0,0.0,0.0,46144,92.59,92.59,922,1.85,1.85,1377,2.76,2.76
91,"State House District 91 (2024), Pennsylvania",620L900US42091,67733,54945,66294,53600,53600,567,2020-2024 ACS CVAP,10,0.02,0.02,335,0.62,0.62,1029,1.92,1.92,1,0.0,0.0,49111,91.62,91.62,664,1.24,1.24,2448,4.57,4.57
92,"State House District 92 (2024), Pennsylvania",620L900US42092,68295,53586,67850,53156,53156,912,2020-2024 ACS CVAP,2,0.0,0.0,335,0.63,0.63,450,0.85,0.85,0,0.0,0.0,49858,93.8,93.8,633,1.19,1.19,1876,3.53,3.53
93,"State House District 93 (2024), Pennsylvania",620L900US42093,66149,52089,65038,51093,51093,918,2020-2024 ACS CVAP,7,0.01,0.01,621,1.22,1.22,2275,4.45,4.45,14,0.03,0.03,45420,88.9,88.9,1007,1.97,1.97,1745,3.42,3.42
94,"State House District 94 (2024), Pennsylvania",620L900US42094,64033,49755,63251,49116,49116,878,2020-2024 ACS CVAP,26,0.05,0.05,552,1.12,1.12,1710,3.48,3.48,7,0.01,0.01,44510,90.62,90.62,852,1.73,1.73,1470,2.99,2.99
95,"State House District 95 (2024), Pennsylvania",620L900US42095,66474,50835,63173,48108,48108,986,2020-2024 ACS CVAP,21,0.04,0.04,690,1.43,1.43,8704,18.09,18.09,2,0.0,0.0,25515,53.04,53.04,1640,3.41,3.41,11530,23.97,23.97
96,"State House District 96 (2024), Pennsylvania",620L900US42096,63939,51820,61483,49701,49701,1418,2020-2024 ACS CVAP,15,0.03,0.03,2127,4.28,4.28,1946,3.92,3.92,2,0.0,0.0,38321,77.1,77.1,1048,2.11,2.11,6252,12.58,12.58
97,"State House District 97 (2024), Pennsylvania",620L900US42097,66403,51698,64906,50494,50494,1258,2020-2024 ACS CVAP,12,0.02,0.02,1333,2.64,2.64,1919,3.8,3.8,0,0.0,0.0,43025,85.21,85.21,642,1.27,1.27,3578,7.09,7.09
98,"State House District 98 (2024), Pennsylvania",620L900US42098,67493,53323,66475,52434,52434,839,2020-2024 ACS CVAP,54,0.1,0.1,765,1.46,1.46,1170,2.23,2.23,0,0.0,0.0,47416,90.43,90.43,792,1.51,1.51,2228,4.25,4.25
99,"State House District 99 (2024), Pennsylvania",620L900US42099,63494,47530,63037,47072,47072,1126,2020-2024 ACS CVAP,51,0.11,0.11,542,1.15,1.15,324,0.69,0.69,0,0.0,0.0,44230,93.96,93.96,439,0.93,0.93,1482,3.15,3.15
100,"State House District 100 (2024), Pennsylvania",620L900US42100,64292,44855,63794,44438,44438,939,2020-2024 ACS CVAP,1,0.0,0.0,126,0.28,0.28,558,1.26,1.26,10,0.02,0.02,41904,94.3,94.3,502,1.13,1.13,1331,3.0,3.0
101,"State House District 101 (2024), Pennsylvania",620L900US42101,65795,51098,64077,49601,49601,781,2020-2024 ACS CVAP,19,0.04,0.04,648,1.31,1.31,1169,2.36,2.36,3,0.01,0.01,36997,74.59,74.59,576,1.16,1.16,10201,20.57,20.57
102,"State House District 102 (2024), Pennsylvania",620L900US42102,65904,51505,65537,51183,51183,782,2020-2024 ACS CVAP,7,0.01,0.01,626,1.22,1.22,524,1.02,1.02,5,0.01,0.01,46681,91.2,91.2,816,1.59,1.59,2531,4.95,4.95
