district,name,geoid,total_population,adult_population,citizen_population,cvap_total,cvap_total_24,cvap_moe,source_vintage,native_cvap,native_cvap_pct,native_vap_pct,asian_cvap,asian_cvap_pct,asian_vap_pct,black_cvap,black_cvap_pct,black_vap_pct,pacific_cvap,pacific_cvap_pct,pacific_vap_pct,white_cvap,white_cvap_pct,white_vap_pct,multiracial_cvap,multiracial_cvap_pct,multiracial_vap_pct,hispanic_cvap,hispanic_cvap_pct,hispanic_vap_pct
1,"Congressional District 1 (119th Congress), Pennsylvania",5001900US4201,767357,612790,738846,587689,587689,1884,2020-2024 ACS CVAP,295,0.05,0.05,27571,4.69,4.69,20819,3.54,3.54,59,0.01,0.01,500222,85.12,85.12,10889,1.85,1.85,27828,4.74,4.74
2,"Congressional District 2 (119th Congress), Pennsylvania",5001900US4202,746423,572120,674988,510537,510537,6387,2020-2024 ACS CVAP,483,0.09,0.09,41054,8.04,8.04,127948,25.06,25.06,112,0.02,0.02,221966,43.48,43.48,11102,2.17,2.17,107872,21.13,21.13
3,"Congressional District 3 (119th Congress), Pennsylvania",5001900US4203,762764,619183,724340,583562,583562,6275,2020-2024 ACS CVAP,901,0.15,0.15,27314,4.68,4.68,298708,51.19,51.19,100,0.02,0.02,210932,36.15,36.15,18116,3.1,3.1,27487,4.71,4.71
4,"Congressional District 4 (119th Congress), Pennsylvania",5001900US4204,774811,613454,747228,589146,589146,2176,2020-2024 ACS CVAP,231,0.04,0.04,25422,4.32,4.32,48089,8.16,8.16,84,0.01,0.01,476967,80.96,80.96,10844,1.84,1.84,27510,4.67,4.67
5,"Congressional District 5 (119th Congress), Pennsylvania",5001900US4205,765318,595410,725664,560848,560848,2902,2020-2024 ACS CVAP,330,0.06,0.06,30135,5.37,5.37,129117,23.02,23.02,197,0.04,0.04,364534,65.0,65.0,12634,2.25,2.25,23899,4.26,4.26
6,"Congressional District 6 (119th Congress), Pennsylvania",5001900US4206,779552,603544,735075,564172,564172,1842,2020-2024 ACS CVAP,196,0.03,0.03,17543,3.11,3.11,29631,5.25,5.25,196,0.03,0.03,438850,77.79,77.79,11411,2.02,2.02,66344,11.76,11.76
7,"Congressional District 7 (119th Congress), Pennsylvania",5001900US4207,775602,615689,738666,582803,582803,2431,2020-2024 ACS CVAP,176,0.03,0.03,14106,2.42,2.42,28862,4.95,4.95,91,0.02,0.02,439777,75.46,75.46,9573,1.64,1.64,90224,15.48,15.48
8,"Congressional District 8 (119th Congress), Pennsylvania",5001900US4208,768756,616360,738023,589952,589952,2050,2020-2024 ACS CVAP,399,0.07,0.07,8708,1.48,1.48,34719,5.89,5.89,236,0.04,0.04,476506,80.77,80.77,9994,1.69,1.69,59381,10.07,10.07
9,"Congressional District 9 (119th Congress), Pennsylvania",5001900US4209,765524,611510,757253,604381,604381,1724,2020-2024 ACS CVAP,189,0.03,0.03,3945,0.65,0.65,13726,2.27,2.27,203,0.03,0.03,548615,90.77,90.77,8324,1.38,1.38,29384,4.86,4.86
10,"Congressional District 10 (119th Congress), Pennsylvania",5001900US4210,779639,611730,751622,587334,587334,2168,2020-2024 ACS CVAP,231,0.04,0.04,18561,3.16,3.16,53537,9.12,9.12,55,0.01,0.01,456342,77.7,77.7,13730,2.34,2.34,44876,7.64,7.64
11,"Congressional District 11 (119th Congress), Pennsylvania",5001900US4211,772861,597066,758311,584658,584658,1565,2020-2024 ACS CVAP,267,0.05,0.05,10373,1.77,1.77,18500,3.16,3.16,136,0.02,0.02,502258,85.91,85.91,9297,1.59,1.59,43834,7.5,7.5
12,"Congressional District 12 (119th Congress), Pennsylvania",5001900US4212,760857,625328,736862,603666,603666,2516,2020-2024 ACS CVAP,347,0.06,0.06,15774,2.61,2.61,81523,13.5,13.5,40,0.01,0.01,477859,79.16,79.16,13819,2.29,2.29,14297,2.37,2.37
13,"Congressional District 13 (119th Congress), Pennsylvania",5001900US4213,765400,608954,756597,600959,600959,832,2020-2024 ACS CVAP,257,0.04,0.04,2930,0.49,0.49,12732,2.12,2.12,43,0.01,0.01,560284,93.23,93.23,9101,1.51,1.51,15606,2.6,2.6
14,"Congressional District 14 (119th Congress), Pennsylvania",5001900US4214,757998,618494,751653,612758,612758,1359,2020-2024 ACS CVAP,119,0.02,0.02,3436,0.56,0.56,18234,2.98,2.98,78,0.01,0.01,575233,93.88,93.88,7999,1.31,1.31,7661,1.25,1.25
15,"Congressional District 15 (119th Congress), Pennsylvania",5001900US4215,758567,619228,745727,606989,606989,1269,2020-2024 ACS CVAP,534,0.09,0.09,5584,0.92,0.92,11700,1.93,1.93,161,0.03,0.03,569529,93.83,93.83,8076,1.33,1.33,11397,1.88,1.88
16,"Congressional District 16 (119th Congress), Pennsylvania",5001900US4216,762590,610960,753114,603030,603030,839,2020-2024 ACS CVAP,340,0.06,0.06,4163,0.69,0.69,22305,3.7,3.7,64,0.01,0.01,553901,91.85,91.85,9382,1.56,1.56,12857,2.13,2.13
17,"Congressional District 17 (119th Congress), Pennsylvania",5001900US4217,754615,605497,736091,589317,589317,2106,2020-2024 ACS CVAP,171,0.03,0.03,9869,1.67,1.67,40417,6.86,6.86,133,0.02,0.02,517045,87.74,87.74,10372,1.76,1.76,11304,1.92,1.92
