district,name,geoid,total_population,adult_population,citizen_population,cvap_total,cvap_total_24,cvap_moe,source_vintage,native_cvap,native_cvap_pct,native_vap_pct,asian_cvap,asian_cvap_pct,asian_vap_pct,black_cvap,black_cvap_pct,black_vap_pct,pacific_cvap,pacific_cvap_pct,pacific_vap_pct,white_cvap,white_cvap_pct,white_vap_pct,multiracial_cvap,multiracial_cvap_pct,multiracial_vap_pct,hispanic_cvap,hispanic_cvap_pct,hispanic_vap_pct
22,"State Senate District 22 (2024), Pennsylvania",610U900US42022,251561,200382,238599,189609,189609,1529,2020-2024 ACS CVAP,88,0.05,0.05,3823,2.02,2.02,8168,4.31,4.31,62,0.03,0.03,158105,83.38,83.38,3586,1.89,1.89,15779,8.32,8.32
23,"State Senate District 23 (2024), Pennsylvania",610U900US42023,262632,210069,260080,207744,207744,344,2020-2024 ACS CVAP,194,0.09,0.09,1160,0.56,0.56,6229,3.0,3.0,17,0.01,0.01,193282,93.04,93.04,2936,1.41,1.41,3936,1.89,1.89
24,"State Senate District 24 (2024), Pennsylvania",610U900US42024,268046,210684,262623,206090,206090,1662,2020-2024 ACS CVAP,50,0.02,0.02,6087,2.95,2.95,12353,5.99,5.99,51,0.02,0.02,176367,85.58,85.58,3523,1.71,1.71,7661,3.72,3.72
25,"State Senate District 25 (2024), Pennsylvania",610U900US42025,266618,220487,261469,215568,215568,776,2020-2024 ACS CVAP,244,0.11,0.11,2667,1.24,1.24,4517,2.1,2.1,50,0.02,0.02,199264,92.44,92.44,3868,1.79,1.79,4963,2.3,2.3
26,"State Senate District 26 (2024), Pennsylvania",610U900US42026,255194,198248,241769,186557,186557,1841,2020-2024 ACS CVAP,135,0.07,0.07,12626,6.77,6.77,31203,16.73,16.73,138,0.07,0.07,132054,70.78,70.78,4049,2.17,2.17,6359,3.41,3.41
27,"State Senate District 27 (2024), Pennsylvania",610U900US42027,260968,210848,258529,208761,208761,890,2020-2024 ACS CVAP,37,0.02,0.02,1802,0.86,0.86,3793,1.82,1.82,207,0.1,0.1,194190,93.02,93.02,2171,1.04,1.04,6573,3.15,3.15
28,"State Senate District 28 (2024), Pennsylvania",610U900US42028,266285,208230,262519,204960,204960,1242,2020-2024 ACS CVAP,104,0.05,0.05,2340,1.14,1.14,7049,3.44,3.44,102,0.05,0.05,182658,89.12,89.12,4302,2.1,2.1,8398,4.1,4.1
29,"State Senate District 29 (2024), Pennsylvania",610U900US42029,268078,213941,256555,204168,204168,1335,2020-2024 ACS CVAP,45,0.02,0.02,796,0.39,0.39,4839,2.37,2.37,21,0.01,0.01,177109,86.75,86.75,2590,1.27,1.27,18765,9.19,9.19
30,"State Senate District 30 (2024), Pennsylvania",610U900US42030,248882,198266,247068,196652,196652,277,2020-2024 ACS CVAP,114,0.06,0.06,799,0.41,0.41,4147,2.11,2.11,27,0.01,0.01,186226,94.7,94.7,2497,1.27,1.27,2848,1.45,1.45
31,"State Senate District 31 (2024), Pennsylvania",610U900US42031,264837,208568,258896,203481,203481,1448,2020-2024 ACS CVAP,47,0.02,0.02,2787,1.37,1.37,14814,7.28,7.28,2,0.0,0.0,162336,79.78,79.78,3814,1.87,1.87,19690,9.68,9.68
