county_name,county_norm,population_base_2020,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Clearfield County,CLEARFIELD,80558,80427,78371,77846,78336,78131,78100,-2327,-2.8933069740261352,-31,-0.039676952810024195
Clinton County,CLINTON,37450,37381,38031,37890,37815,37807,37870,489,1.3081511998073887,63,0.1666358081836697
Columbia County,COLUMBIA,64720,64681,64981,65358,65768,65997,66193,1512,2.337626196255469,196,0.29698319620588814
Crawford County,CRAWFORD,83942,83797,83234,82350,82016,81946,81792,-2005,-2.3926870890366003,-154,-0.18792863593097894
Cumberland County,CUMBERLAND,259461,260251,265577,268588,271177,274656,277270,17019,6.539456140418289,2614,0.9517359897471745
Dauphin County,DAUPHIN,286408,286694,288284,288943,290947,292917,293351,6657,2.3219879034789703,434,0.14816483850373996
Delaware County,DELAWARE,576962,576505,577178,576666,579086,581416,580937,4432,0.7687704356423621,-479,-0.0823850736821828
Elk County,ELK,30994,30940,30796,30447,30201,30067,29926,-1014,-3.2773109243697482,-141,-0.4689526723650514
Erie County,ERIE,271038,270724,269444,268923,267628,266435,265832,-4892,-1.807006397659609,-603,-0.22632161690468597
Fayette County,FAYETTE,128820,128585,127159,125569,124645,123959,123021,-5564,-4.327098806237119,-938,-0.7567018126961333
Forest County,FOREST,6987,6972,6905,6615,6474,6595,6614,-358,-5.134825014343087,19,0.2880970432145565
Franklin County,FRANKLIN,155944,155938,156597,157038,158181,159476,160652,4714,3.022996319049879,1176,0.7374150342371266
Fulton County,FULTON,14562,14578,14566,14566,14534,14490,14483,-95,-0.6516668953217177,-7,-0.04830917874396135
Greene County,GREENE,35951,35869,35297,34565,34579,34142,33885,-1984,-5.531238674063955,-257,-0.7527385624743718
Huntingdon County,HUNTINGDON,44077,44043,43972,43261,43527,43384,43001,-1042,-2.3658697182299115,-383,-0.8828139406232713
Indiana County,INDIANA,83236,83158,83115,82893,83045,83257,82878,-280,-0.3367084345462854,-379,-0.4552169787525373
Jefferson County,JEFFERSON,44501,44488,44132,43731,43637,43340,43255,-1233,-2.7715338967811545,-85,-0.1961236732810337
Juniata County,JUNIATA,23500,23476,23346,23296,23409,23454,23403,-73,-0.31095586982450163,-51,-0.2174469173701714
Lackawanna County,LACKAWANNA,215914,215529,216081,215714,216257,216418,216502,973,0.45144736903154564,84,0.038813777042575014
Lancaster County,LANCASTER,552988,552819,556420,557092,560144,562062,563159,10340,1.8704132817432106,1097,0.19517419786429255
Lawrence County,LAWRENCE,86065,85961,85550,84771,84500,84087,83911,-2050,-2.384802410395412,-176,-0.2093070272455909
Lebanon County,LEBANON,143252,143272,143785,144037,144706,145392,146380,3108,2.1693003517784355,988,0.6795422031473534
Lehigh County,LEHIGH,374546,374449,375852,376746,380068,382939,384383,9934,2.652964756215132,1444,0.3770835563888766
Luzerne County,LUZERNE,325585,325195,325987,326627,328684,330898,332126,6931,2.131336582665785,1228,0.3711113394459924
Lycoming County,LYCOMING,114199,114120,113579,113195,113192,112918,112587,-1533,-1.3433228180862251,-331,-0.29313307001540945
McKean County,MCKEAN,40434,40405,40350,39803,39551,39289,38984,-1421,-3.5168914738274966,-305,-0.7762987095624729
Mercer County,MERCER,110661,110553,110002,109142,108556,108238,107860,-2693,-2.435935705046448,-378,-0.34923039967479075
Mifflin County,MIFFLIN,46138,46144,46188,45993,45976,46023,46127,-17,-0.03684119278779473,104,0.22597396953697063
Monroe County,MONROE,168292,168310,168747,167459,166762,166818,167179,-1131,-0.671974333075872,361,0.21640350561689986
Montgomery County,MONTGOMERY,856392,856829,864286,865483,870108,875160,877643,20814,2.4291894882176024,2483,0.2837195484254308
Montour County,MONTOUR,18144,18130,18093,18109,17968,17900,17868,-262,-1.445118587975731,-32,-0.1787709497206704
Northampton County,NORTHAMPTON,312951,312809,318234,318123,320993,323085,324411,11602,3.7089725679248358,1326,0.4104183109707972
Northumberland County,NORTHUMBERLAND,91646,91544,90978,90075,90139,89969,89920,-1624,-1.7740103119811237,-49,-0.054463203992486296
Perry County,PERRY,45836,45830,45954,46188,46310,46566,46806,976,2.129609426140083,240,0.5153975003221235
Philadelphia County,PHILADELPHIA,1603800,1600737,1590224,1572341,1565822,1572735,1574281,-26456,-1.6527387072329807,1546,0.09830009505733643
Pike County,PIKE,58560,58593,60080,60722,61524,62264,62808,4215,7.193692079258615,544,0.8736990877553643
Potter County,POTTER,16403,16389,16325,16205,16050,16010,15897,-492,-3.0020135456708767,-113,-0.7058088694565897
Schuylkill County,SCHUYLKILL,143042,142944,143148,143114,143892,144409,145085,2141,1.4977893440788002,676,0.46811486818688586
Snyder County,SNYDER,39736,39737,39730,39506,39673,39689,39655,-82,-0.20635679593326123,-34,-0.08566605356647937
Somerset County,SOMERSET,74124,73994,72973,72570,72270,72209,72004,-1990,-2.6894072492364245,-205,-0.28389812904208617
Sullivan County,SULLIVAN,5835,5823,5864,5888,5913,5895,5856,33,0.5667181865018033,-39,-0.6615776081424937
Susquehanna County,SUSQUEHANNA,38431,38355,38451,38157,38197,38180,38237,-118,-0.30765219658453913,57,0.14929282346778416
Tioga County,TIOGA,41052,41025,41306,40951,40697,40563,40502,-523,-1.2748324192565508,-61,-0.1503833542883909
Union County,UNION,42680,42659,42480,42713,42185,42641,42313,-346,-0.8110832415199606,-328,-0.7692127295326094
Venango County,VENANGO,50465,50370,50057,49707,49490,49518,49346,-1024,-2.032956124677387,-172,-0.3473484389514924
Warren County,WARREN,38584,38513,38174,37824,37629,37311,37038,-1475,-3.8298756264118614,-273,-0.7316877060384337
Washington County,WASHINGTON,209331,209413,210116,209981,210442,210635,210802,1389,0.663282604231829,167,0.07928406959906949
Wayne County,WAYNE,51146,51151,51192,51108,51385,51362,51703,552,1.079157787726535,341,0.6639149565826876
Westmoreland County,WESTMORELAND,354607,354270,353695,351924,351233,350473,349324,-4946,-1.3961103113444548,-1149,-0.32784265835028664
Wyoming County,WYOMING,26072,26033,26117,26039,25912,25857,25790,-243,-0.9334306457188952,-67,-0.2591174536875894
York County,YORK,456434,456725,459306,461464,466068,469986,473197,16472,3.6065466090097984,3211,0.6832118403526913
