county_name,county_norm,population_base_2020,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Pennsylvania,PENNSYLVANIA,13002753,12995576,13016628,12984655,13009406,13045848,13059432,63856,0.4913672160433674,13584,0.1041250825550014
Adams County,ADAMS,103854,103814,105728,105994,106945,107155,107594,3780,3.6411274009285837,439,0.4096869021510895
Allegheny County,ALLEGHENY,1250581,1249585,1245335,1233325,1228911,1227174,1225035,-24550,-1.9646522645518312,-2139,-0.17430291058969632
Armstrong County,ARMSTRONG,65572,65496,65283,64724,64157,63755,63698,-1798,-2.745205814095517,-57,-0.089404752568426
Beaver County,BEAVER,168224,167857,166976,165703,165680,165769,166032,-1825,-1.0872349678595472,263,0.15865451320813903
Bedford County,BEDFORD,47567,47569,47500,47373,47448,47566,47480,-89,-0.18709663856713404,-86,-0.18080141277383005
Berks County,BERKS,428836,428651,429671,432214,435061,438379,440072,11421,2.664405308747676,1693,0.3861955066278266
Blair County,BLAIR,122824,122667,122147,120774,120360,120051,119541,-3126,-2.548362640318912,-510,-0.4248194517330135
Bradford County,BRADFORD,59965,59975,60176,59825,59722,59593,59600,-375,-0.6252605252188412,7,0.011746346047354556
Bucks County,BUCKS,646552,646212,647792,646351,647751,648416,647828,1616,0.25007273154939863,-588,-0.09068252479889453
Butler County,BUTLER,193716,194026,196738,197374,198657,199300,200169,6143,3.1660705266304516,869,0.43602609131961867
Cambria County,CAMBRIA,133464,133200,132251,131399,130590,129905,128968,-4232,-3.177177177177177,-937,-0.7212963319348755
Cameron County,CAMERON,4544,4529,4463,4403,4381,4332,4211,-318,-7.0214175314639,-121,-2.793167128347184
Carbon County,CARBON,64761,64765,65558,65485,65443,65709,65868,1103,1.7030803674824364,159,0.24197598502488246
Centre County,CENTRE,158171,158035,157972,157977,158739,158505,157393,-642,-0.4062391242446293,-1112,-0.70155515598877
Chester County,CHESTER,534429,534858,541131,547131,551316,554530,557116,22258,4.161478373699187,2586,0.46634086523722795
Clarion County,CLARION,37237,37200,37598,37287,36944,36741,36680,-520,-1.3978494623655915,-61,-0.1660270542445769
