county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
ADAMS,ADAMS - 001010,U.S. Senate,,DEM,Bob Casey Jr,93,,,
ADAMS,ADAMS - 001020,U.S. Senate,,DEM,Bob Casey Jr,141,,,
ADAMS,ADAMS - 001030,U.S. Senate,,DEM,Bob Casey Jr,79,,,
ADAMS,ADAMS - 001260,U.S. Senate,,DEM,Bob Casey Jr,5.14285714278,,,
ADAMS,ADAMS - 001040,U.S. Senate,,DEM,Bob Casey Jr,241.714285714188,,,
ADAMS,ADAMS - 001010,U.S. Senate,,DEM,Bob Casey Jr,5.14285714278,,,
ADAMS,ADAMS - 001050,U.S. Senate,,DEM,Bob Casey Jr,165,,,
ADAMS,ADAMS - 001060,U.S. Senate,,DEM,Bob Casey Jr,203,,,
ADAMS,ADAMS - 001070,U.S. Senate,,DEM,Bob Casey Jr,349,,,
ADAMS,ADAMS - 001320,U.S. Senate,,DEM,Bob Casey Jr,4.327205224556,,,
ADAMS,ADAMS - 001080,U.S. Senate,,DEM,Bob Casey Jr,263.959518699019,,,
ADAMS,ADAMS - 001080,U.S. Senate,,DEM,Bob Casey Jr,276.879888027844,,,
ADAMS,ADAMS - 001270,U.S. Senate,,DEM,Bob Casey Jr,4.196969697104,,,
ADAMS,ADAMS - 001320,U.S. Senate,,DEM,Bob Casey Jr,4.38914270659,,,
ADAMS,ADAMS - 001080,U.S. Senate,,DEM,Bob Casey Jr,0.24727564544,,,
ADAMS,ADAMS - 001090,U.S. Senate,,DEM,Bob Casey Jr,439,,,
ADAMS,ADAMS - 001100,U.S. Senate,,DEM,Bob Casey Jr,528,,,
ADAMS,ADAMS - 001110,U.S. Senate,,DEM,Bob Casey Jr,332,,,
ADAMS,ADAMS - 001120,U.S. Senate,,DEM,Bob Casey Jr,269,,,
ADAMS,ADAMS - 001130,U.S. Senate,,DEM,Bob Casey Jr,425,,,
ADAMS,ADAMS - 001140,U.S. Senate,,DEM,Bob Casey Jr,204,,,
ADAMS,ADAMS - 001150,U.S. Senate,,DEM,Bob Casey Jr,231,,,
ADAMS,ADAMS - 001160,U.S. Senate,,DEM,Bob Casey Jr,114,,,
ADAMS,ADAMS - 001170,U.S. Senate,,DEM,Bob Casey Jr,371,,,
ADAMS,ADAMS - 001180,U.S. Senate,,DEM,Bob Casey Jr,329,,,
ADAMS,ADAMS - 001190,U.S. Senate,,DEM,Bob Casey Jr,163,,,
ADAMS,ADAMS - 001200,U.S. Senate,,DEM,Bob Casey Jr,257,,,
ADAMS,ADAMS - 001120,U.S. Senate,,DEM,Bob Casey Jr,3.988888888849,,,
ADAMS,ADAMS - 001250,U.S. Senate,,DEM,Bob Casey Jr,3.988888888849,,,
ADAMS,ADAMS - 001220,U.S. Senate,,DEM,Bob Casey Jr,227.366666666547,,,
ADAMS,ADAMS - 001210,U.S. Senate,,DEM,Bob Casey Jr,123.655555555396,,,
ADAMS,ADAMS - 001230,U.S. Senate,,DEM,Bob Casey Jr,260,,,
ADAMS,ADAMS - 001120,U.S. Senate,,DEM,Bob Casey Jr,9.205128205119,,,
ADAMS,ADAMS - 001250,U.S. Senate,,DEM,Bob Casey Jr,184.102564102739,,,
ADAMS,ADAMS - 001240,U.S. Senate,,DEM,Bob Casey Jr,151.884615384643,,,
ADAMS,ADAMS - 001140,U.S. Senate,,DEM,Bob Casey Jr,13.807692307858,,,
ADAMS,ADAMS - 001260,U.S. Senate,,DEM,Bob Casey Jr,317,,,
ADAMS,ADAMS - 001270,U.S. Senate,,DEM,Bob Casey Jr,335,,,
ADAMS,ADAMS - 001280,U.S. Senate,,DEM,Bob Casey Jr,190,,,
ADAMS,ADAMS - 001300,U.S. Senate,,DEM,Bob Casey Jr,73.463768115946,,,
ADAMS,ADAMS - 001310,U.S. Senate,,DEM,Bob Casey Jr,9.927536231892,,,
ADAMS,ADAMS - 001290,U.S. Senate,,DEM,Bob Casey Jr,188.623188405674,,,
ADAMS,ADAMS - 001460,U.S. Senate,,DEM,Bob Casey Jr,1.985507246488,,,
ADAMS,ADAMS - 001310,U.S. Senate,,DEM,Bob Casey Jr,337,,,
ADAMS,ADAMS - 001320,U.S. Senate,,DEM,Bob Casey Jr,187.440000000066,,,
ADAMS,ADAMS - 001080,U.S. Senate,,DEM,Bob Casey Jr,10.559999999934,,,
ADAMS,ADAMS - 001330,U.S. Senate,,DEM,Bob Casey Jr,278,,,
ADAMS,ADAMS - 001340,U.S. Senate,,DEM,Bob Casey Jr,168,,,
ADAMS,ADAMS - 001350,U.S. Senate,,DEM,Bob Casey Jr,247,,,
ADAMS,ADAMS - 001360,U.S. Senate,,DEM,Bob Casey Jr,158,,,
ADAMS,ADAMS - 001370,U.S. Senate,,DEM,Bob Casey Jr,329,,,
ADAMS,ADAMS - 001380,U.S. Senate,,DEM,Bob Casey Jr,344,,,
ADAMS,ADAMS - 001385,U.S. Senate,,DEM,Bob Casey Jr,282,,,
ADAMS,ADAMS - 001390,U.S. Senate,,DEM,Bob Casey Jr,360,,,
ADAMS,ADAMS - 001400,U.S. Senate,,DEM,Bob Casey Jr,205,,,
ADAMS,ADAMS - 001410,U.S. Senate,,DEM,Bob Casey Jr,222,,,
ADAMS,ADAMS - 001425,U.S. Senate,,DEM,Bob Casey Jr,296,,,
ADAMS,ADAMS - 001427,U.S. Senate,,DEM,Bob Casey Jr,380,,,
ADAMS,ADAMS - 001430,U.S. Senate,,DEM,Bob Casey Jr,234.830287145025,,,
ADAMS,ADAMS - 001435,U.S. Senate,,DEM,Bob Casey Jr,27.382743807705,,,
ADAMS,ADAMS - 001430,U.S. Senate,,DEM,Bob Casey Jr,166.786734131589,,,
ADAMS,ADAMS - 001460,U.S. Senate,,DEM,Bob Casey Jr,0.000234915681,,,
ADAMS,ADAMS - 001430,U.S. Senate,,DEM,Bob Casey Jr,79.0625,,,
ADAMS,ADAMS - 001435,U.S. Senate,,DEM,Bob Casey Jr,150.9375,,,
ADAMS,ADAMS - 001440,U.S. Senate,,DEM,Bob Casey Jr,511,,,
ADAMS,ADAMS - 001450,U.S. Senate,,DEM,Bob Casey Jr,325,,,
ADAMS,ADAMS - 001460,U.S. Senate,,DEM,Bob Casey Jr,244,,,
ADAMS,ADAMS - 001480,U.S. Senate,,DEM,Bob Casey Jr,397,,,
ADAMS,ADAMS - 001490,U.S. Senate,,DEM,Bob Casey Jr,55,,,
ADAMS,ADAMS - 001010,U.S. Senate,,REP,Rick Santorum,153,,,
ADAMS,ADAMS - 001020,U.S. Senate,,REP,Rick Santorum,127,,,
ADAMS,ADAMS - 001030,U.S. Senate,,REP,Rick Santorum,81,,,
ADAMS,ADAMS - 001260,U.S. Senate,,REP,Rick Santorum,7.693877550905,,,
ADAMS,ADAMS - 001040,U.S. Senate,,REP,Rick Santorum,361.612244897813,,,
ADAMS,ADAMS - 001010,U.S. Senate,,REP,Rick Santorum,7.693877550905,,,
ADAMS,ADAMS - 001050,U.S. Senate,,REP,Rick Santorum,205,,,
ADAMS,ADAMS - 001060,U.S. Senate,,REP,Rick Santorum,234,,,
ADAMS,ADAMS - 001070,U.S. Senate,,REP,Rick Santorum,524,,,
ADAMS,ADAMS - 001320,U.S. Senate,,REP,Rick Santorum,5.256695155463,,,
ADAMS,ADAMS - 001080,U.S. Senate,,REP,Rick Santorum,320.658404484549,,,
ADAMS,ADAMS - 001080,U.S. Senate,,REP,Rick Santorum,336.354087802778,,,
ADAMS,ADAMS - 001270,U.S. Senate,,REP,Rick Santorum,5.098484848648,,,
ADAMS,ADAMS - 001320,U.S. Senate,,REP,Rick Santorum,5.331936898078,,,
ADAMS,ADAMS - 001080,U.S. Senate,,REP,Rick Santorum,0.300390811157,,,
ADAMS,ADAMS - 001090,U.S. Senate,,REP,Rick Santorum,425,,,
ADAMS,ADAMS - 001100,U.S. Senate,,REP,Rick Santorum,619,,,
ADAMS,ADAMS - 001110,U.S. Senate,,REP,Rick Santorum,348,,,
ADAMS,ADAMS - 001120,U.S. Senate,,REP,Rick Santorum,289,,,
ADAMS,ADAMS - 001130,U.S. Senate,,REP,Rick Santorum,460,,,
ADAMS,ADAMS - 001140,U.S. Senate,,REP,Rick Santorum,189,,,
ADAMS,ADAMS - 001150,U.S. Senate,,REP,Rick Santorum,322,,,
ADAMS,ADAMS - 001160,U.S. Senate,,REP,Rick Santorum,120,,,
ADAMS,ADAMS - 001170,U.S. Senate,,REP,Rick Santorum,455,,,
ADAMS,ADAMS - 001180,U.S. Senate,,REP,Rick Santorum,406,,,
ADAMS,ADAMS - 001190,U.S. Senate,,REP,Rick Santorum,212,,,
ADAMS,ADAMS - 001200,U.S. Senate,,REP,Rick Santorum,506,,,
ADAMS,ADAMS - 001120,U.S. Senate,,REP,Rick Santorum,2.177777777756,,,
ADAMS,ADAMS - 001250,U.S. Senate,,REP,Rick Santorum,2.177777777756,,,
ADAMS,ADAMS - 001220,U.S. Senate,,REP,Rick Santorum,124.133333333268,,,
ADAMS,ADAMS - 001210,U.S. Senate,,REP,Rick Santorum,67.511111111024,,,
ADAMS,ADAMS - 001230,U.S. Senate,,REP,Rick Santorum,134,,,
ADAMS,ADAMS - 001120,U.S. Senate,,REP,Rick Santorum,6.282051282045,,,
ADAMS,ADAMS - 001250,U.S. Senate,,REP,Rick Santorum,125.641025641145,,,
ADAMS,ADAMS - 001240,U.S. Senate,,REP,Rick Santorum,103.653846153865,,,
ADAMS,ADAMS - 001140,U.S. Senate,,REP,Rick Santorum,9.42307692319,,,
ADAMS,ADAMS - 001260,U.S. Senate,,REP,Rick Santorum,490,,,
ADAMS,ADAMS - 001270,U.S. Senate,,REP,Rick Santorum,392,,,
ADAMS,ADAMS - 001280,U.S. Senate,,REP,Rick Santorum,199,,,
ADAMS,ADAMS - 001300,U.S. Senate,,REP,Rick Santorum,135.666666666674,,,
ADAMS,ADAMS - 001310,U.S. Senate,,REP,Rick Santorum,18.333333333348,,,
ADAMS,ADAMS - 001290,U.S. Senate,,REP,Rick Santorum,348.333333333106,,,
ADAMS,ADAMS - 001460,U.S. Senate,,REP,Rick Santorum,3.666666666872,,,
ADAMS,ADAMS - 001310,U.S. Senate,,REP,Rick Santorum,635,,,
ADAMS,ADAMS - 001320,U.S. Senate,,REP,Rick Santorum,195.013333333402,,,
ADAMS,ADAMS - 001080,U.S. Senate,,REP,Rick Santorum,10.986666666598,,,
ADAMS,ADAMS - 001330,U.S. Senate,,REP,Rick Santorum,441,,,
ADAMS,ADAMS - 001340,U.S. Senate,,REP,Rick Santorum,221,,,
ADAMS,ADAMS - 001350,U.S. Senate,,REP,Rick Santorum,171,,,
ADAMS,ADAMS - 001360,U.S. Senate,,REP,Rick Santorum,137,,,
ADAMS,ADAMS - 001370,U.S. Senate,,REP,Rick Santorum,634,,,
ADAMS,ADAMS - 001380,U.S. Senate,,REP,Rick Santorum,398,,,
ADAMS,ADAMS - 001385,U.S. Senate,,REP,Rick Santorum,395,,,
ADAMS,ADAMS - 001390,U.S. Senate,,REP,Rick Santorum,419,,,
ADAMS,ADAMS - 001400,U.S. Senate,,REP,Rick Santorum,268,,,
ADAMS,ADAMS - 001410,U.S. Senate,,REP,Rick Santorum,223,,,
ADAMS,ADAMS - 001425,U.S. Senate,,REP,Rick Santorum,321,,,
ADAMS,ADAMS - 001427,U.S. Senate,,REP,Rick Santorum,454,,,
ADAMS,ADAMS - 001430,U.S. Senate,,REP,Rick Santorum,369.488214039375,,,
ADAMS,ADAMS - 001435,U.S. Senate,,REP,Rick Santorum,43.084736760375,,,
ADAMS,ADAMS - 001430,U.S. Senate,,REP,Rick Santorum,262.426679577675,,,
ADAMS,ADAMS - 001460,U.S. Senate,,REP,Rick Santorum,0.000369622575,,,
ADAMS,ADAMS - 001430,U.S. Senate,,REP,Rick Santorum,105.875,,,
ADAMS,ADAMS - 001435,U.S. Senate,,REP,Rick Santorum,202.125,,,
ADAMS,ADAMS - 001440,U.S. Senate,,REP,Rick Santorum,468,,,
ADAMS,ADAMS - 001450,U.S. Senate,,REP,Rick Santorum,352,,,
ADAMS,ADAMS - 001460,U.S. Senate,,REP,Rick Santorum,352,,,
ADAMS,ADAMS - 001480,U.S. Senate,,REP,Rick Santorum,595,,,
ADAMS,ADAMS - 001490,U.S. Senate,,REP,Rick Santorum,89,,,
ADAMS,ADAMS - 001010,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001020,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001030,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001260,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001040,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001010,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001050,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001060,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001070,U.S. Senate,,OTH,Write-In,1,,,
ADAMS,ADAMS - 001320,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001080,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001080,U.S. Senate,,OTH,Write-In,0,,,
ADAMS,ADAMS - 001270,U.S. Senate,,OTH,Write-In,0,,,
