county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
ADAMS,ADAMS - 001010,Governor,,REP,Tom Corbett,124,,,
ADAMS,ADAMS - 001020,Governor,,REP,Tom Corbett,132,,,
ADAMS,ADAMS - 001030,Governor,,REP,Tom Corbett,90,,,
ADAMS,ADAMS - 001260,Governor,,REP,Tom Corbett,7.938775510085,,,
ADAMS,ADAMS - 001040,Governor,,REP,Tom Corbett,373.122448979441,,,
ADAMS,ADAMS - 001010,Governor,,REP,Tom Corbett,7.938775510085,,,
ADAMS,ADAMS - 001050,Governor,,REP,Tom Corbett,165,,,
ADAMS,ADAMS - 001060,Governor,,REP,Tom Corbett,257,,,
ADAMS,ADAMS - 001070,Governor,,REP,Tom Corbett,520,,,
ADAMS,ADAMS - 001320,Governor,,REP,Tom Corbett,6.983870967714,,,
ADAMS,ADAMS - 001080,Governor,,REP,Tom Corbett,426.016129032286,,,
ADAMS,ADAMS - 001080,Governor,,REP,Tom Corbett,315,,,
ADAMS,ADAMS - 001090,Governor,,REP,Tom Corbett,490,,,
ADAMS,ADAMS - 001100,Governor,,REP,Tom Corbett,675,,,
ADAMS,ADAMS - 001110,Governor,,REP,Tom Corbett,397,,,
ADAMS,ADAMS - 001120,Governor,,REP,Tom Corbett,324,,,
ADAMS,ADAMS - 001130,Governor,,REP,Tom Corbett,516,,,
ADAMS,ADAMS - 001140,Governor,,REP,Tom Corbett,202,,,
ADAMS,ADAMS - 001150,Governor,,REP,Tom Corbett,273,,,
ADAMS,ADAMS - 001160,Governor,,REP,Tom Corbett,117,,,
ADAMS,ADAMS - 001170,Governor,,REP,Tom Corbett,461,,,
ADAMS,ADAMS - 001180,Governor,,REP,Tom Corbett,424,,,
ADAMS,ADAMS - 001190,Governor,,REP,Tom Corbett,198,,,
ADAMS,ADAMS - 001200,Governor,,REP,Tom Corbett,527,,,
ADAMS,ADAMS - 001120,Governor,,REP,Tom Corbett,1.977777777758,,,
ADAMS,ADAMS - 001250,Governor,,REP,Tom Corbett,1.977777777758,,,
ADAMS,ADAMS - 001220,Governor,,REP,Tom Corbett,112.733333333274,,,
ADAMS,ADAMS - 001210,Governor,,REP,Tom Corbett,61.311111111032,,,
ADAMS,ADAMS - 001230,Governor,,REP,Tom Corbett,120,,,
ADAMS,ADAMS - 001120,Governor,,REP,Tom Corbett,5.38461538461,,,
ADAMS,ADAMS - 001250,Governor,,REP,Tom Corbett,107.69230769241,,,
ADAMS,ADAMS - 001240,Governor,,REP,Tom Corbett,88.84615384617,,,
ADAMS,ADAMS - 001140,Governor,,REP,Tom Corbett,8.07692307702,,,
ADAMS,ADAMS - 001260,Governor,,REP,Tom Corbett,490,,,
ADAMS,ADAMS - 001270,Governor,,REP,Tom Corbett,400,,,
ADAMS,ADAMS - 001280,Governor,,REP,Tom Corbett,222,,,
ADAMS,ADAMS - 001300,Governor,,REP,Tom Corbett,138.079710144935,,,
ADAMS,ADAMS - 001310,Governor,,REP,Tom Corbett,18.65942028987,,,
ADAMS,ADAMS - 001290,Governor,,REP,Tom Corbett,354.528985507015,,,
ADAMS,ADAMS - 001460,Governor,,REP,Tom Corbett,3.73188405818,,,
ADAMS,ADAMS - 001310,Governor,,REP,Tom Corbett,587,,,
ADAMS,ADAMS - 001320,Governor,,REP,Tom Corbett,239.506666666751,,,
ADAMS,ADAMS - 001080,Governor,,REP,Tom Corbett,13.493333333249,,,
ADAMS,ADAMS - 001330,Governor,,REP,Tom Corbett,355,,,
ADAMS,ADAMS - 001340,Governor,,REP,Tom Corbett,332,,,
ADAMS,ADAMS - 001350,Governor,,REP,Tom Corbett,141,,,
ADAMS,ADAMS - 001360,Governor,,REP,Tom Corbett,137,,,
ADAMS,ADAMS - 001370,Governor,,REP,Tom Corbett,609,,,
ADAMS,ADAMS - 001380,Governor,,REP,Tom Corbett,316,,,
ADAMS,ADAMS - 001385,Governor,,REP,Tom Corbett,449,,,
ADAMS,ADAMS - 001390,Governor,,REP,Tom Corbett,434,,,
ADAMS,ADAMS - 001400,Governor,,REP,Tom Corbett,259,,,
ADAMS,ADAMS - 001410,Governor,,REP,Tom Corbett,184,,,
ADAMS,ADAMS - 001425,Governor,,REP,Tom Corbett,345,,,
ADAMS,ADAMS - 001427,Governor,,REP,Tom Corbett,451,,,
ADAMS,ADAMS - 001310,Governor,,REP,Tom Corbett,5.764621875345,,,
ADAMS,ADAMS - 001430,Governor,,REP,Tom Corbett,328.465909090965,,,
ADAMS,ADAMS - 001430,Governor,,REP,Tom Corbett,280.76946903369,,,
ADAMS,ADAMS - 001430,Governor,,REP,Tom Corbett,142.5306122447,,,
ADAMS,ADAMS - 001435,Governor,,REP,Tom Corbett,245.4693877553,,,
ADAMS,ADAMS - 001440,Governor,,REP,Tom Corbett,451,,,
ADAMS,ADAMS - 001450,Governor,,REP,Tom Corbett,335,,,
ADAMS,ADAMS - 001460,Governor,,REP,Tom Corbett,331,,,
ADAMS,ADAMS - 001480,Governor,,REP,Tom Corbett,589,,,
ADAMS,ADAMS - 001490,Governor,,REP,Tom Corbett,65,,,
ADAMS,ADAMS - 001010,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001020,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001030,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001260,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001040,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001010,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001050,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001060,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001070,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001320,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001080,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001080,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001090,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001100,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001110,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001120,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001130,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001140,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001150,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001160,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001170,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001180,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001190,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001200,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001120,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001250,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001220,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001210,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001230,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001120,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001250,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001240,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001140,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001260,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001270,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001280,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001300,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001310,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001290,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001460,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001310,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001320,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001080,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001330,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001340,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001350,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001360,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001370,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001380,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001385,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001390,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001400,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001410,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001425,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001427,Governor,,REP,Tom Corbett,0,,,
ADAMS,ADAMS - 001310,Governor,,REP,Tom Corbett,0,,,
