county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
ADAMS,ADAMS - 001010,Supreme Court Retention - Thomas G Saylor,,YES,Yes,55,,,
ADAMS,ADAMS - 001010,Supreme Court Retention - Thomas G Saylor,,NO,No,27,,,
ADAMS,ADAMS - 001020,Supreme Court Retention - Thomas G Saylor,,YES,Yes,77,,,
ADAMS,ADAMS - 001020,Supreme Court Retention - Thomas G Saylor,,NO,No,45,,,
ADAMS,ADAMS - 001030,Supreme Court Retention - Thomas G Saylor,,YES,Yes,56,,,
ADAMS,ADAMS - 001030,Supreme Court Retention - Thomas G Saylor,,NO,No,28,,,
ADAMS,ADAMS - 001260,Supreme Court Retention - Thomas G Saylor,,YES,Yes,0.436953807675,,,
ADAMS,ADAMS - 001040,Supreme Court Retention - Thomas G Saylor,,YES,Yes,173.7619642115,,,
ADAMS,ADAMS - 001010,Supreme Court Retention - Thomas G Saylor,,YES,Yes,0.801081980825,,,
ADAMS,ADAMS - 001260,Supreme Court Retention - Thomas G Saylor,,NO,No,0.152309612961,,,
ADAMS,ADAMS - 001040,Supreme Court Retention - Thomas G Saylor,,NO,No,60.56845609658,,,
ADAMS,ADAMS - 001010,Supreme Court Retention - Thomas G Saylor,,NO,No,0.279234290459,,,
ADAMS,ADAMS - 001050,Supreme Court Retention - Thomas G Saylor,,YES,Yes,102,,,
ADAMS,ADAMS - 001050,Supreme Court Retention - Thomas G Saylor,,NO,No,48,,,
ADAMS,ADAMS - 001060,Supreme Court Retention - Thomas G Saylor,,YES,Yes,87,,,
ADAMS,ADAMS - 001060,Supreme Court Retention - Thomas G Saylor,,NO,No,29,,,
ADAMS,ADAMS - 001070,Supreme Court Retention - Thomas G Saylor,,YES,Yes,230,,,
ADAMS,ADAMS - 001070,Supreme Court Retention - Thomas G Saylor,,NO,No,90,,,
ADAMS,ADAMS - 001320,Supreme Court Retention - Thomas G Saylor,,YES,Yes,0.92719586661,,,
ADAMS,ADAMS - 001080,Supreme Court Retention - Thomas G Saylor,,YES,Yes,140.07280413339,,,
ADAMS,ADAMS - 001320,Supreme Court Retention - Thomas G Saylor,,NO,No,0.35509628934,,,
ADAMS,ADAMS - 001080,Supreme Court Retention - Thomas G Saylor,,NO,No,53.64490371066,,,
ADAMS,ADAMS - 001080,Supreme Court Retention - Thomas G Saylor,,YES,Yes,109,,,
ADAMS,ADAMS - 001080,Supreme Court Retention - Thomas G Saylor,,NO,No,63,,,
ADAMS,ADAMS - 001090,Supreme Court Retention - Thomas G Saylor,,YES,Yes,248,,,
ADAMS,ADAMS - 001090,Supreme Court Retention - Thomas G Saylor,,NO,No,90,,,
ADAMS,ADAMS - 001100,Supreme Court Retention - Thomas G Saylor,,YES,Yes,251,,,
ADAMS,ADAMS - 001100,Supreme Court Retention - Thomas G Saylor,,NO,No,93,,,
ADAMS,ADAMS - 001110,Supreme Court Retention - Thomas G Saylor,,YES,Yes,212.874853113942,,,
ADAMS,ADAMS - 001130,Supreme Court Retention - Thomas G Saylor,,YES,Yes,0.125146886058,,,
ADAMS,ADAMS - 001110,Supreme Court Retention - Thomas G Saylor,,NO,No,77.954171562852,,,
ADAMS,ADAMS - 001130,Supreme Court Retention - Thomas G Saylor,,NO,No,0.045828437148,,,
ADAMS,ADAMS - 001120,Supreme Court Retention - Thomas G Saylor,,YES,Yes,123,,,
ADAMS,ADAMS - 001120,Supreme Court Retention - Thomas G Saylor,,NO,No,57,,,
ADAMS,ADAMS - 001130,Supreme Court Retention - Thomas G Saylor,,YES,Yes,189,,,
ADAMS,ADAMS - 001130,Supreme Court Retention - Thomas G Saylor,,NO,No,93,,,
ADAMS,ADAMS - 001140,Supreme Court Retention - Thomas G Saylor,,YES,Yes,218,,,
ADAMS,ADAMS - 001140,Supreme Court Retention - Thomas G Saylor,,NO,No,93,,,
ADAMS,ADAMS - 001150,Supreme Court Retention - Thomas G Saylor,,YES,Yes,122,,,
ADAMS,ADAMS - 001150,Supreme Court Retention - Thomas G Saylor,,NO,No,46,,,
ADAMS,ADAMS - 001160,Supreme Court Retention - Thomas G Saylor,,YES,Yes,63,,,
ADAMS,ADAMS - 001160,Supreme Court Retention - Thomas G Saylor,,NO,No,27,,,
ADAMS,ADAMS - 001170,Supreme Court Retention - Thomas G Saylor,,YES,Yes,212.332467532512,,,
ADAMS,ADAMS - 001180,Supreme Court Retention - Thomas G Saylor,,YES,Yes,1.667532467488,,,
ADAMS,ADAMS - 001170,Supreme Court Retention - Thomas G Saylor,,NO,No,98.228571428592,,,
ADAMS,ADAMS - 001180,Supreme Court Retention - Thomas G Saylor,,NO,No,0.771428571408,,,
ADAMS,ADAMS - 001180,Supreme Court Retention - Thomas G Saylor,,YES,Yes,215,,,
ADAMS,ADAMS - 001180,Supreme Court Retention - Thomas G Saylor,,NO,No,77,,,
