county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
ADAMS,ADAMS - 001010,Supreme Court,,DEM,Maria Mclaughlin,34,,,
ADAMS,ADAMS - 001020,Supreme Court,,DEM,Maria Mclaughlin,68,,,
ADAMS,ADAMS - 001030,Supreme Court,,DEM,Maria Mclaughlin,33,,,
ADAMS,ADAMS - 001260,Supreme Court,,DEM,Maria Mclaughlin,0.339575530536,,,
ADAMS,ADAMS - 001040,Supreme Court,,DEM,Maria Mclaughlin,135.03786933008,,,
ADAMS,ADAMS - 001010,Supreme Court,,DEM,Maria Mclaughlin,0.622555139384,,,
ADAMS,ADAMS - 001050,Supreme Court,,DEM,Maria Mclaughlin,63,,,
ADAMS,ADAMS - 001060,Supreme Court,,DEM,Maria Mclaughlin,62,,,
ADAMS,ADAMS - 001070,Supreme Court,,DEM,Maria Mclaughlin,154,,,
ADAMS,ADAMS - 001320,Supreme Court,,DEM,Maria Mclaughlin,0.97980272429,,,
ADAMS,ADAMS - 001080,Supreme Court,,DEM,Maria Mclaughlin,148.02019727571,,,
ADAMS,ADAMS - 001080,Supreme Court,,DEM,Maria Mclaughlin,150,,,
ADAMS,ADAMS - 001090,Supreme Court,,DEM,Maria Mclaughlin,257,,,
ADAMS,ADAMS - 001100,Supreme Court,,DEM,Maria Mclaughlin,236,,,
ADAMS,ADAMS - 001110,Supreme Court,,DEM,Maria Mclaughlin,298,,,
ADAMS,ADAMS - 001120,Supreme Court,,DEM,Maria Mclaughlin,125,,,
ADAMS,ADAMS - 001130,Supreme Court,,DEM,Maria Mclaughlin,285,,,
ADAMS,ADAMS - 001140,Supreme Court,,DEM,Maria Mclaughlin,331,,,
ADAMS,ADAMS - 001150,Supreme Court,,DEM,Maria Mclaughlin,116,,,
ADAMS,ADAMS - 001160,Supreme Court,,DEM,Maria Mclaughlin,61,,,
ADAMS,ADAMS - 001170,Supreme Court,,DEM,Maria Mclaughlin,172,,,
ADAMS,ADAMS - 001180,Supreme Court,,DEM,Maria Mclaughlin,143,,,
ADAMS,ADAMS - 001190,Supreme Court,,DEM,Maria Mclaughlin,88,,,
ADAMS,ADAMS - 001200,Supreme Court,,DEM,Maria Mclaughlin,140,,,
ADAMS,ADAMS - 001220,Supreme Court,,DEM,Maria Mclaughlin,216.584269662932,,,
ADAMS,ADAMS - 001210,Supreme Court,,DEM,Maria Mclaughlin,99.415730337068,,,
ADAMS,ADAMS - 001230,Supreme Court,,DEM,Maria Mclaughlin,209,,,
ADAMS,ADAMS - 001120,Supreme Court,,DEM,Maria Mclaughlin,1.521610420298,,,
ADAMS,ADAMS - 001250,Supreme Court,,DEM,Maria Mclaughlin,110.012433392634,,,
ADAMS,ADAMS - 001240,Supreme Court,,DEM,Maria Mclaughlin,145.313795145141,,,
ADAMS,ADAMS - 001140,Supreme Court,,DEM,Maria Mclaughlin,0.152161041927,,,
ADAMS,ADAMS - 001260,Supreme Court,,DEM,Maria Mclaughlin,129,,,
ADAMS,ADAMS - 001270,Supreme Court,,DEM,Maria Mclaughlin,142,,,
ADAMS,ADAMS - 001280,Supreme Court,,DEM,Maria Mclaughlin,96,,,
ADAMS,ADAMS - 001300,Supreme Court,,DEM,Maria Mclaughlin,26.05427974944,,,
ADAMS,ADAMS - 001310,Supreme Court,,DEM,Maria Mclaughlin,1.002087682656,,,
ADAMS,ADAMS - 001290,Supreme Court,,DEM,Maria Mclaughlin,68.943632567808,,,
ADAMS,ADAMS - 001310,Supreme Court,,DEM,Maria Mclaughlin,188,,,
ADAMS,ADAMS - 001320,Supreme Court,,DEM,Maria Mclaughlin,106.861191860493,,,
